contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
AMZN250620P00075000,5/23/2025 12:09 PM,75,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00080000,5/29/2025 3:39 PM,80,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00085000,5/30/2025 3:54 PM,85,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00090000,5/30/2025 12:55 PM,90,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00095000,2025-02-06 10:36:00,95,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00100000,6/17/2025 1:02 PM,100,0.01,0.00,0.00,0.00,0.00%,50,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00105000,2025-10-06 09:45:00,105,0.03,0.00,0.00,0.00,0.00%,4,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00110000,2025-10-06 09:45:00,110,0.01,0.00,0.00,0.00,0.00%,4,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00115000,6/16/2025 3:21 PM,115,0.01,0.00,0.00,0.00,0.00%,5,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00120000,6/17/2025 2:55 PM,120,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00125000,6/17/2025 9:31 AM,125,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00130000,6/17/2025 9:35 AM,130,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00135000,2025-12-06 13:22:00,135,0.01,0.00,0.00,0.00,0.00%,15,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00140000,6/17/2025 2:43 PM,140,0.01,0.00,0.00,0.00,0.00%,7,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00145000,6/16/2025 11:03 AM,145,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00150000,6/17/2025 1:49 PM,150,0.01,0.00,0.00,0.00,0.00%,11,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00155000,6/17/2025 9:35 AM,155,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00160000,6/17/2025 2:58 PM,160,0.01,0.00,0.00,0.00,0.00%,3.142,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00165000,6/17/2025 3:45 PM,165,0.01,0.00,0.00,0.00,0.00%,112,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00170000,6/17/2025 3:59 PM,170,0.02,0.00,0.00,0.00,0.00%,580,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00175000,6/17/2025 3:58 PM,175,0.01,0.00,0.00,0.00,0.00%,706,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00180000,6/17/2025 3:34 PM,180,0.03,0.00,0.00,0.00,0.00%,189,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00182500,6/17/2025 11:23 AM,182.5,0.03,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00185000,6/17/2025 3:43 PM,185,0.02,0.00,0.00,0.00,0.00%,1.276,0,25.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00187500,6/17/2025 2:50 PM,187.5,0.04,0.00,0.00,0.00,0.00%,121,0,25.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00190000,6/17/2025 3:58 PM,190,0.06,0.00,0.00,0.00,0.00%,238,0,25.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00192500,6/17/2025 3:48 PM,192.5,0.07,0.00,0.00,0.00,0.00%,1.524,0,25.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00195000,6/17/2025 3:46 PM,195,0.07,0.00,0.00,0.00,0.00%,518,0,25.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00197500,6/17/2025 3:58 PM,197.5,0.10,0.00,0.00,0.00,0.00%,1.005,0,25.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00200000,6/17/2025 3:56 PM,200,0.13,0.00,0.00,0.00,0.00%,823,0,12.50%,"Jun 20, 2025",2025-06-20
AMZN250620P00202500,6/17/2025 3:55 PM,202.5,0.19,0.00,0.00,0.00,0.00%,646,0,12.50%,"Jun 20, 2025",2025-06-20
AMZN250620P00205000,6/17/2025 3:59 PM,205,0.29,0.00,0.00,0.00,0.00%,2.328,0,12.50%,"Jun 20, 2025",2025-06-20
AMZN250620P00207500,6/17/2025 3:59 PM,207.5,0.46,0.00,0.00,0.00,0.00%,3.446,0,12.50%,"Jun 20, 2025",2025-06-20
AMZN250620P00210000,6/17/2025 3:59 PM,210,0.82,0.00,0.00,0.00,0.00%,9.81,0,6.25%,"Jun 20, 2025",2025-06-20
AMZN250620P00212500,6/17/2025 3:59 PM,212.5,1.45,0.00,0.00,0.00,0.00%,13.042,0,3.13%,"Jun 20, 2025",2025-06-20
AMZN250620P00215000,6/17/2025 3:59 PM,215,2.42,0.00,0.00,0.00,0.00%,19.535,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00217500,6/17/2025 3:59 PM,217.5,3.80,0.00,0.00,0.00,0.00%,5.175,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00220000,6/17/2025 3:59 PM,220,5.55,0.00,0.00,0.00,0.00%,1.499,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00222500,6/17/2025 3:31 PM,222.5,7.65,0.00,0.00,0.00,0.00%,53,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00225000,6/17/2025 2:26 PM,225,10.20,0.00,0.00,0.00,0.00%,97,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00227500,6/17/2025 12:59 PM,227.5,12.05,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00230000,6/17/2025 3:55 PM,230,15.10,0.00,0.00,0.00,0.00%,1.564,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00232500,6/16/2025 12:25 PM,232.5,17.15,0.00,0.00,0.00,0.00%,8,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00235000,6/17/2025 3:47 PM,235,20.04,0.00,0.00,0.00,0.00%,1.622,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00240000,6/17/2025 3:47 PM,240,24.80,0.00,0.00,0.00,0.00%,630,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00245000,6/13/2025 12:11 PM,245,31.47,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00250000,6/13/2025 12:11 PM,250,36.48,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00255000,5/19/2025 2:14 PM,255,49.65,0.00,0.00,0.00,0.00%,500,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00260000,5/15/2025 10:12 AM,260,55.46,47.35,48.60,0.00,0.00%,3,0,191.16%,"Jun 20, 2025",2025-06-20
AMZN250620P00265000,4/17/2025 3:51 PM,265,92.83,58.80,60.25,0.00,0.00%,2,0,318.51%,"Jun 20, 2025",2025-06-20
AMZN250620P00270000,3/27/2025 3:55 PM,270,68.22,80.25,81.80,0.00,0.00%,1,0,561.89%,"Jun 20, 2025",2025-06-20
AMZN250620P00275000,3/27/2025 3:55 PM,275,73.23,85.60,86.95,0.00,0.00%,1,0,580.69%,"Jun 20, 2025",2025-06-20
AMZN250620P00280000,2025-03-03 09:42:00,280,68.68,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00285000,2025-06-05 14:02:00,285,99.15,76.65,77.60,0.00,0.00%,1,0,332.64%,"Jun 20, 2025",2025-06-20
AMZN250620P00290000,2025-04-02 10:15:00,290,51.80,0.00,0.00,0.00,0.00%,34,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00295000,2025-04-02 09:57:00,295,56.30,0.00,0.00,0.00,0.00%,11,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00300000,3/24/2025 2:46 PM,300,97.70,112.85,113.90,0.00,0.00%,1,0,678.88%,"Jun 20, 2025",2025-06-20
AMZN250620P00305000,2/13/2025 3:24 PM,305,74.95,106.05,108.00,0.00,0.00%,1,0,535.89%,"Jun 20, 2025",2025-06-20
AMZN250620P00310000,5/15/2025 3:44 PM,310,105.35,97.35,98.60,0.00,0.00%,2,0,298.24%,"Jun 20, 2025",2025-06-20
AMZN250620P00315000,5/15/2025 3:44 PM,315,110.37,102.40,103.65,0.00,0.00%,1,0,308.69%,"Jun 20, 2025",2025-06-20
AMZN250620P00320000,6/13/2025 10:31 AM,320,110.10,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00330000,5/15/2025 11:45 AM,330,124.80,117.35,118.35,0.00,0.00%,1,0,329.64%,"Jun 20, 2025",2025-06-20
AMZN250620P00335000,12/27/2024 11:40 AM,335,112.75,95.45,96.15,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
AMZN250620P00350000,2025-10-03 10:43:00,350,156.90,164.35,166.10,0.00,0.00%,-,0,818.53%,"Jun 20, 2025",2025-06-20
AMZN250620P00360000,5/15/2025 12:52 PM,360,154.95,147.40,148.60,0.00,0.00%,2,0,381.05%,"Jun 20, 2025",2025-06-20
AMZN250627C00105000,2025-10-06 14:14:00,105,111.11,0.00,0.00,0.00,0.00%,15,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00110000,2025-03-06 09:45:00,110,97.40,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00115000,5/15/2025 11:18 AM,115,89.95,96.65,98.70,0.00,0.00%,-,2,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00120000,5/30/2025 12:49 PM,120,82.40,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00130000,2025-09-06 12:01:00,130,86.25,0.00,0.00,0.00,0.00%,11,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00135000,2025-06-06 13:38:00,135,78.23,0.00,0.00,0.00,0.00%,7,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00140000,2025-02-06 10:31:00,140,65.02,0.00,0.00,0.00,0.00%,20,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00145000,5/13/2025 3:56 PM,145,67.08,66.15,68.70,0.00,0.00%,5,6,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00150000,6/17/2025 10:33 AM,150,66.05,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00155000,2025-05-06 15:59:00,155,52.35,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00160000,6/16/2025 2:31 PM,160,56.05,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00165000,6/16/2025 9:55 AM,165,48.80,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00170000,6/16/2025 1:12 PM,170,45.50,0.00,0.00,0.00,0.00%,7,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00175000,6/16/2025 2:45 PM,175,40.99,0.00,0.00,0.00,0.00%,6,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00180000,6/17/2025 1:54 PM,180,36.03,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00185000,6/17/2025 3:53 PM,185,30.59,0.00,0.00,0.00,0.00%,32,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00190000,6/17/2025 3:31 PM,190,25.50,0.00,0.00,0.00,0.00%,57,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00192500,6/17/2025 1:21 PM,192.5,23.60,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00195000,6/17/2025 2:49 PM,195,20.57,0.00,0.00,0.00,0.00%,33,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00197500,6/17/2025 3:17 PM,197.5,18.33,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 27, 2025",2025-06-27
AMZN250627C00200000,6/17/2025 3:30 PM,200,16.02,0.00,0.00,0.00,0.00%,1.11,0,0.00%,"Jun 27, 2025",2025-06-27
