,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
123,2016-06-30,META,327069360000.0,308950360000.0,70.11,32.573,0.932,16.569,6.937
122,2016-07-31,META,355914068508.0,332621068508.0,59.301,33.557,0.905,16.102,7.064
121,2016-08-31,META,362174296596.0,338881296596.0,60.344,33.898,0.789,16.385,7.188
120,2016-09-30,META,369032790000.0,345739790000.0,61.373,25.575,0.595,16.665,7.325
119,2016-10-31,META,377535117942.0,354242117942.0,62.675,25.974,0.603,17.018,7.493
118,2016-11-30,META,341306272744.0,318013272744.0,45.722,22.624,0.527,13.889,6.307
117,2016-12-31,META,331593368343.0,308300368343.0,44.421,22.422,0.522,13.494,6.148
116,2017-01-31,META,376622367445.0,353329367445.0,50.317,24.753,0.603,15.285,6.96
115,2017-02-28,META,391708070009.0,362259070009.0,38.837,25.51,1.101,14.345,6.617
114,2017-03-31,META,410950650000.0,381501650000.0,40.702,26.525,1.145,15.034,6.942
113,2017-04-30,META,435328934539.0,405879934539.0,43.052,28.011,1.208,15.901,7.354
112,2017-05-31,META,438957880543.0,409508880543.0,38.539,31.056,0.94,14.676,7.059
111,2017-06-30,META,437842000000.0,408393000000.0,38.417,30.03,0.897,14.629,7.041
110,2017-07-31,META,491535271841.0,462086271841.0,37.864,32.051,1.187,15.02,7.394
109,2017-08-31,META,499434686550.0,469985686550.0,38.472,32.573,1.206,15.262,7.512
108,2017-09-30,META,496240070307.0,466791070307.0,38.226,25.773,0.953,15.164,7.469
107,2017-10-31,META,523219923164.0,493770923164.0,40.282,27.1,1.004,15.98,7.87
106,2017-11-30,META,514851193970.0,485402193970.0,34.337,26.596,1.026,14.334,7.23
105,2017-12-31,META,512759011671.0,483310011671.0,34.198,26.455,1.022,14.275,7.201
104,2018-01-31,META,542915591662.0,513466591662.0,34.673,28.011,1.082,13.589,7.302
103,2018-02-28,META,518019735166.0,488570735166.0,33.083,25.381,1.141,12.966,6.968
102,2018-03-31,META,464190071120.0,434741071120.0,29.646,22.624,1.017,11.619,6.237
101,2018-04-30,META,497875972656.0,468426972656.0,28.477,22.523,1.013,11.404,6.414
100,2018-05-31,META,555131709510.0,525682709510.0,31.752,25.974,1.169,12.716,7.152
99,2018-06-30,META,562484063991.0,533035063991.0,32.172,26.316,1.184,12.884,7.238
98,2018-07-31,META,498276197032.0,468827197032.0,26.715,23.81,0.833,10.5,6.277
97,2018-08-31,META,507370935824.0,477921935824.0,27.203,24.213,0.848,10.691,6.392
96,2018-09-30,META,474831981481.0,445382981481.0,25.458,19.342,0.677,10.006,5.952
95,2018-10-31,META,436212221624.0,406763221624.0,22.86,18.727,0.655,8.596,5.429
94,2018-11-30,META,404083276122.0,374634276122.0,21.176,19.011,0.667,7.962,5.03
93,2018-12-31,META,374130860000.0,344681860000.0,19.742,17.575,0.618,7.423,4.657
92,2019-01-31,META,475731559761.0,435117559761.0,22.02,22.472,0.79,8.72,5.655
91,2019-02-28,META,460776653210.0,420162653210.0,21.328,21.505,0.906,8.446,5.477
90,2019-03-31,META,475731559761.0,435117559761.0,22.02,22.173,0.934,8.72,5.659
89,2019-04-30,META,552058121542.0,514025121542.0,28.737,25.253,1.304,9.521,6.381
88,2019-05-31,META,506586115977.0,468553115977.0,26.37,23.202,1.196,8.737,5.855
87,2019-06-30,META,550916326048.0,512883326048.0,28.678,25.189,1.298,9.501,6.367
86,2019-07-31,META,554128575226.0,513342575226.0,32.92,25.253,1.314,8.96,6.243
85,2019-08-31,META,529707318963.0,488921318963.0,31.469,23.923,1.246,8.565,5.968
84,2019-09-30,META,508240320000.0,467454320000.0,30.183,18.149,0.945,8.215,5.726
83,2019-10-31,META,546537222665.0,503400222665.0,30.713,19.531,1.017,8.294,5.814
82,2019-11-30,META,575026170510.0,531889170510.0,32.314,21.834,1.177,8.726,6.117
81,2019-12-31,META,585373000000.0,542236000000.0,32.893,22.222,1.198,8.882,6.227
80,2020-01-31,META,575534492558.0,531280492558.0,31.401,21.978,0.903,8.214,5.695
79,2020-02-29,META,548626238336.0,504372238336.0,29.933,21.053,0.866,7.83,5.429
78,2020-03-05,META,,484187948526.0,,,,,
77,2020-03-31,META,475546800000.0,431292800000.0,25.941,19.493,0.801,6.786,4.706
76,2020-04-30,META,583239936542.0,533294936542.0,28.081,27.701,1.186,8.025,5.539
75,2020-05-31,META,641304661796.0,591359661796.0,30.877,31.153,1.326,8.824,6.098
74,2020-06-04,META,644723585756.0,594778585756.0,,,,,
73,2020-06-30,META,647149500000.0,597204500000.0,31.148,31.447,1.338,8.902,6.146
72,2020-07-13,META,681871672450.0,631926672450.0,,,,,
71,2020-07-31,META,722659108551.0,674951108551.0,31.011,34.364,1.367,9.712,6.543
70,2020-08-06,META,755733860198.0,708025860198.0,,,,,
69,2020-08-31,META,835272797837.0,787564797837.0,35.844,37.453,1.449,11.226,7.563
68,2020-09-24,META,710865011065.0,663157011065.0,,,,,
67,2020-09-30,META,746415000000.0,698707000000.0,32.017,24.631,0.951,10.027,6.758
66,2020-10-15,META,759836154976.0,712128154976.0,,,,,
65,2020-10-28,META,762542530003.0,714834530003.0,,,,,
64,2020-10-31,META,749414284665.0,704410284665.0,29.967,24.938,0.934,9.602,6.365
63,2020-11-06,META,835717552597.0,790713552597.0,,,,,
62,2020-11-13,META,788834655232.0,743830655232.0,,,,,
61,2020-11-20,META,768184533368.0,723180533368.0,,,,,
60,2020-11-30,META,788891621086.0,743887621086.0,31.546,25.445,0.927,10.107,6.701
59,2020-12-04,META,796667460078.0,751663460078.0,,,,,
58,2020-12-11,META,779150460151.0,734146460151.0,,,,,
57,2020-12-31,META,778232840000.0,733228840000.0,31.112,25.126,0.914,9.968,6.61
56,2021-01-27,META,775134367485.0,730130367485.0,,,,,
55,2021-01-31,META,735638578441.0,684338578441.0,25.603,23.202,0.828,8.679,5.734
54,2021-02-10,META,774196029577.0,722896029577.0,,,,,
53,2021-02-28,META,733616732776.0,682316732776.0,25.532,22.989,0.992,8.655,5.718
52,2021-03-03,META,727323382184.0,676023382184.0,,,,,
51,2021-03-31,META,836759730000.0,785459730000.0,29.19,26.316,1.134,9.895,6.522
50,2021-04-30,META,921752908236.0,869147908236.0,27.832,27.248,1.176,9.957,6.896
49,2021-05-31,META,932102354880.0,879497354880.0,28.145,27.548,1.111,10.069,6.974
48,2021-06-30,META,982628460000.0,930023460000.0,29.77,29.07,1.175,10.651,7.352
47,2021-07-31,META,1004568075705.0,952495075705.0,26.432,28.249,1.124,9.828,7.268
46,2021-08-31,META,1069640854788.0,1017567854788.0,28.144,30.03,1.197,10.465,7.738
45,2021-09-30,META,947916270000.0,895843270000.0,25.177,22.075,0.878,9.362,6.858
44,2021-10-31,META,900093926591.0,854658926591.0,23.145,22.676,0.918,8.304,6.749
43,2021-11-30,META,902569692561.0,857134692561.0,23.209,22.222,0.899,8.327,6.768
42,2021-12-31,META,921935350000.0,876500350000.0,24.059,23.31,0.943,8.632,6.913
41,2022-01-31,META,852675538388.0,807240538388.0,22.408,21.692,0.878,8.039,6.394
40,2022-02-28,META,574411411818.0,540286411818.0,15.325,16.208,1.145,5.116,4.6
39,2022-03-31,META,603485040000.0,569360040000.0,16.148,17.301,1.224,5.391,4.833
38,2022-04-30,META,542536649391.0,512699649391.0,15.199,16.077,1.175,4.731,4.403
37,2022-05-31,META,524052460657.0,494215460657.0,14.681,16.103,1.176,4.57,4.253
36,2022-06-30,META,434891250000.0,405054250000.0,12.225,13.477,0.984,3.805,3.529
35,2022-07-31,META,427588961895.0,403166961895.0,13.192,14.43,2.043,3.708,3.4
34,2022-08-31,META,437882272542.0,413460272542.0,13.51,16.155,2.29,3.797,3.482
33,2022-09-30,META,361587200000.0,337165200000.0,11.25,11.312,1.603,3.162,2.875
32,2022-10-31,META,247018274469.0,231142274469.0,8.889,11.099,1.958,2.161,1.991
31,2022-11-30,META,313147898399.0,297271898399.0,11.269,14.514,2.559,2.74,2.523
30,2022-12-31,META,315555188423.0,299679188423.0,11.483,15.038,2.652,2.792,2.535
29,2023-01-31,META,386225513464.0,370349513464.0,14.215,18.382,3.24,3.456,3.112
28,2023-02-28,META,453556362526.0,439409362526.0,20.366,18.215,1.764,4.054,3.608
27,2023-03-31,META,543838040000.0,529691040000.0,24.673,21.008,2.034,4.911,4.326
26,2023-04-30,META,615875762409.0,606011762409.0,29.779,22.624,1.264,5.459,4.935
25,2023-05-31,META,678406424040.0,668542424040.0,32.803,21.978,0.918,6.013,5.436
24,2023-06-30,META,738399540000.0,728535540000.0,35.561,23.81,0.993,6.519,5.917
23,2023-07-31,META,819809213437.0,802581213437.0,37.133,25.189,1.002,6.977,6.116
22,2023-08-31,META,761372718656.0,744144718656.0,34.486,22.989,0.914,6.48,5.68
21,2023-09-30,META,772488775787.0,755260775787.0,34.99,18.182,0.724,6.575,5.759
20,2023-10-31,META,774222545269.0,749316545269.0,26.59,17.921,0.697,6.243,5.419
19,2023-11-30,META,840730592772.0,815824592772.0,28.875,19.194,0.747,6.779,5.884
18,2023-12-31,META,909628612617.0,884722612617.0,31.241,20.747,0.808,7.335,6.345
17,2024-01-31,META,994624908053.0,969718908053.0,34.434,22.624,0.881,8.084,6.962
16,2024-02-29,META,1249539924602.0,1221370924602.0,32.961,24.51,1.119,9.552,8.158
15,2024-03-31,META,1237940131371.0,1209771131371.0,32.655,24.155,1.102,9.463,8.043
14,2024-04-30,META,1091140912941.0,1070653912941.0,24.751,21.787,0.994,7.946,7.297
13,2024-05-31,META,1184130256384.0,1163643256384.0,26.86,23.641,1.079,8.624,7.919
12,2024-06-30,META,1278971269785.0,1258484269785.0,29.012,25.575,1.166,9.314,8.542
11,2024-07-31,META,1201232888826.0,1181143888826.0,24.288,23.981,1.122,8.358,7.663
10,2024-08-31,META,1318818771505.0,1298729771505.0,26.665,25.51,1.084,9.176,8.413
9,2024-09-30,META,1444838560000.0,1424749560000.0,29.281,23.753,1.009,10.076,9.217
8,2024-10-31,META,1432849201559.0,1410996201559.0,26.785,23.585,0.96,9.529,8.709
7,2024-11-30,META,1449864254271.0,1428011254271.0,27.103,22.676,0.923,9.643,8.812
6,2024-12-31,META,1483967870977.0,1462114870977.0,27.631,23.095,1.307,9.831,9.019
