,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
555,META250627C00755000,2025-06-17 15:59:00,755,0.76,0.00,0.00,0.00,0.00%,365.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
556,META250627C00760000,2025-06-17 15:54:00,760,0.56,0.00,0.00,0.00,0.00%,105.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
557,META250627C00765000,2025-06-17 15:57:00,765,0.49,0.00,0.00,0.00,0.00%,55.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
558,META250627C00770000,2025-06-17 14:59:00,770,0.43,0.00,0.00,0.00,0.00%,56.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
559,META250627C00775000,2025-06-17 14:30:00,775,0.35,0.00,0.00,0.00,0.00%,173.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
560,META250627C00780000,2025-06-17 14:35:00,780,0.29,0.00,0.00,0.00,0.00%,55.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
561,META250627C00785000,2025-06-17 14:54:00,785,0.24,0.00,0.00,0.00,0.00%,47.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
562,META250627C00790000,2025-06-17 15:29:00,790,0.20,0.00,0.00,0.00,0.00%,12.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
563,META250627C00795000,2025-06-17 15:58:00,795,0.16,0.00,0.00,0.00,0.00%,14.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
564,META250627C00800000,2025-06-17 15:18:00,800,0.17,0.00,0.00,0.00,0.00%,676.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
565,META250627C00810000,2025-06-16 10:37:00,810,0.23,0.00,0.00,0.00,0.00%,11.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,10,2025-06-16,short
566,META250627C00820000,2025-06-17 11:27:00,820,0.12,0.00,0.00,0.00,0.00%,3.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
567,META250627C00830000,2025-06-17 14:56:00,830,0.05,0.00,0.00,0.00,0.00%,2.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
568,META250627C00840000,2025-06-17 11:07:00,840,0.06,0.00,0.00,0.00,0.00%,10.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
569,META250627C00850000,2025-06-17 12:52:00,850,0.04,0.00,0.00,0.00,0.00%,20.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
570,META250627C00860000,2025-06-17 12:10:00,860,0.03,0.00,0.00,0.00,0.00%,203.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
571,META250627C00870000,2025-06-16 11:03:00,870,0.03,0.00,0.00,0.00,0.00%,164.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,10,2025-06-16,short
572,META250627C00880000,2025-06-17 12:08:00,880,0.01,0.00,0.00,0.00,0.00%,209.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
573,META250627C00890000,2025-06-17 12:36:00,890,0.01,0.00,0.00,0.00,0.00%,4.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
574,META250627C00900000,2025-06-16 11:40:00,900,0.02,0.00,0.00,0.00,0.00%,1.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,10,2025-06-16,short
577,META250627C00930000,2025-06-16 11:21:00,930,0.01,0.00,0.00,0.00,0.00%,1.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,10,2025-06-16,short
581,META250627P00300000,2025-03-06 10:54:00,300,0.01,0.00,0.00,0.00,0.00%,,0.0,0.5,"Jun 27, 2025",2025-06-27,put,112,2025-03-06,long
582,META250627P00310000,2025-05-30 12:28:00,310,0.03,0.00,0.00,0.00,0.00%,2.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,27,2025-05-30,medium
583,META250627P00340000,2025-02-06 12:05:00,340,0.03,0.00,0.00,0.00,0.00%,4.0,0.0,0.5,"Jun 27, 2025",2025-06-27,put,140,2025-02-06,long
