,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
17,2024-01-31,TSLA,596479396825.0,576958396825.0,43.556,57.143,2.089,6.745,9.523
16,2024-02-29,TSLA,642945488980.0,623424488980.0,46.949,64.516,2.367,7.27,10.265
15,2024-03-31,TSLA,559854307052.0,540333307052.0,40.881,56.818,2.075,6.331,8.95
14,2024-04-30,TSLA,584515873487.0,567563873487.0,46.875,73.529,3.244,6.749,9.079
13,2024-05-31,TSLA,567932053419.0,550980053419.0,45.545,71.429,3.165,6.558,8.822
12,2024-06-30,TSLA,631078137525.0,614126137525.0,50.609,80.0,3.531,7.287,9.819
11,2024-07-31,TSLA,741380201109.0,723175201109.0,65.188,94.34,4.306,8.497,11.154
10,2024-08-31,TSLA,684004459255.0,665799459255.0,60.143,94.34,4.287,7.839,10.291
9,2024-09-30,TSLA,839047410000.0,820842410000.0,73.492,89.286,4.059,9.579,12.623
8,2024-10-31,TSLA,802033405801.0,781168405801.0,68.452,74.627,7.124,8.978,11.469
7,2024-11-30,TSLA,1107984191900.0,1087119191900.0,94.564,100.0,9.57,12.403,15.844
6,2024-12-31,TSLA,1298749440000.0,1277884440000.0,110.641,117.647,4.899,14.512,18.572
