,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
407,GOOGL250718P00145000,2025-06-17 15:59:00,145,0.41,0.00,0.00,0.00,0.00%,370.0,0.0,0.125,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
408,GOOGL250718P00150000,2025-06-17 15:59:00,150,0.56,0.00,0.00,0.00,0.00%,755.0,0.0,0.125,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
409,GOOGL250718P00155000,2025-06-17 15:59:00,155,0.80,0.00,0.00,0.00,0.00%,698.0,0.0,0.125,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
410,GOOGL250718P00160000,2025-06-17 15:59:00,160,1.22,0.00,0.00,0.00,0.00%,2.52,0.0,0.0625,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
411,GOOGL250718P00165000,2025-06-17 15:58:00,165,1.90,0.00,0.00,0.00,0.00%,2.148,0.0,0.0625,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
412,GOOGL250718P00170000,2025-06-17 15:57:00,170,3.05,0.00,0.00,0.00,0.00%,478.0,0.0,0.0313,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
413,GOOGL250718P00175000,2025-06-17 15:59:00,175,4.85,0.00,0.00,0.00,0.00%,571.0,0.0,0.0039000000000000003,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
414,GOOGL250718P00180000,2025-06-17 15:59:00,180,7.38,0.00,0.00,0.00,0.00%,473.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
415,GOOGL250718P00185000,2025-06-17 15:26:00,185,10.21,0.00,0.00,0.00,0.00%,42.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
416,GOOGL250718P00190000,2025-06-17 15:51:00,190,14.55,0.00,0.00,0.00,0.00%,71.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
417,GOOGL250718P00195000,2025-06-17 14:09:00,195,18.95,0.00,0.00,0.00,0.00%,20.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
418,GOOGL250718P00200000,2025-06-16 15:21:00,200,23.50,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,31,2025-06-16,medium
420,GOOGL250718P00210000,2025-06-17 11:18:00,210,32.80,0.00,0.00,0.00,0.00%,36.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,30,2025-06-17,medium
421,GOOGL250718P00215000,2025-05-19 10:06:00,215,49.50,0.00,0.00,0.00,0.00%,20.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,59,2025-05-19,long
422,GOOGL250718P00220000,2025-05-21 12:55:00,220,48.62,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,57,2025-05-21,long
423,GOOGL250718P00225000,2025-03-03 09:50:00,225,54.45,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,136,2025-03-03,long
424,GOOGL250718P00230000,2025-03-18 15:49:00,230,70.00,77.20,80.20,0.00,0.00%,1.0,0.0,2.0237,"Jul 18, 2025",2025-07-18,put,121,2025-03-18,long
425,GOOGL250718P00235000,2025-03-02 10:36:00,235,35.95,0.00,0.00,0.00,0.00%,4.0,1.0,0.0,"Jul 18, 2025",2025-07-18,put,137,2025-03-02,long
427,GOOGL250718P00245000,2025-05-19 10:06:00,245,79.45,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,59,2025-05-19,long
428,GOOGL250718P00250000,2025-05-27 09:40:00,250,79.32,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,51,2025-05-27,long
429,GOOGL250718P00280000,2025-04-29 13:47:00,280,119.55,107.70,108.60,0.00,0.00%,,0.0,1.2734,"Jul 18, 2025",2025-07-18,put,79,2025-04-29,long
430,GOOGL250718P00320000,2025-05-21 10:30:00,320,150.45,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jul 18, 2025",2025-07-18,put,57,2025-05-21,long
431,GOOGL250718P00340000,2025-03-20 12:04:00,340,176.40,187.00,190.40,0.00,0.00%,,0.0,2.9103,"Jul 18, 2025",2025-07-18,put,119,2025-03-20,long
434,GOOGL250725C00125000,2025-06-16 10:23:00,125,51.55,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jul 25, 2025",2025-07-25,call,38,2025-06-16,medium
