,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
104,2018-08-31,MSFT,861370851106.0,809410851106.0,52.737,26.11,2.124,7.933,10.413
103,2018-09-30,MSFT,878077016445.0,826117016445.0,53.695,26.455,2.15,8.077,10.619
102,2018-10-31,MSFT,819896923192.0,765898923192.0,43.955,24.57,1.999,7.237,9.537
101,2018-11-30,MSFT,851215895635.0,797217895635.0,45.634,25.51,2.052,7.514,9.902
100,2018-12-31,MSFT,780362310000.0,726364310000.0,41.798,23.365,1.879,6.882,9.077
99,2019-01-31,MSFT,801209250165.0,752399250165.0,24.23,24.039,1.932,6.857,8.697
98,2019-02-28,MSFT,859518072355.0,810708072355.0,25.993,25.575,2.326,7.356,9.33
97,2019-03-31,MSFT,904860853821.0,856050853821.0,27.364,23.31,2.121,7.744,9.814
96,2019-04-30,MSFT,1000764020352.0,948218020352.0,29.022,25.641,2.258,8.298,10.549
95,2019-05-31,MSFT,947737320345.0,895191320345.0,27.484,24.096,2.124,7.858,9.99
94,2019-06-30,MSFT,1026511088563.0,973965088563.0,29.769,26.11,2.299,8.511,10.793
93,2019-07-31,MSFT,1040477238938.0,985024238938.0,26.931,25.907,4.842,8.395,10.168
92,2019-08-31,MSFT,1052617539884.0,997151539884.0,27.245,26.178,4.899,8.493,10.287
91,2019-09-30,MSFT,1061355020000.0,1005889020000.0,27.476,26.455,4.941,8.565,10.372
90,2019-10-31,MSFT,1093741861452.0,1033259861452.0,27.051,26.316,2.526,8.547,10.312
89,2019-11-30,MSFT,1154848594452.0,1094366594452.0,28.562,27.778,2.667,9.025,10.889
88,2019-12-31,MSFT,1200254700000.0,1139772700000.0,29.755,28.902,2.778,9.401,11.317
87,2020-01-31,MSFT,1294777382512.0,1237304382512.0,29.657,30.864,3.604,9.789,11.759
86,2020-02-29,MSFT,1232255676090.0,1174782676090.0,28.225,28.249,3.298,9.316,11.191
85,2020-03-05,MSFT,,1207184436352.0,,,,,
84,2020-03-31,MSFT,1197018900000.0,1139545900000.0,27.476,25.317,2.771,9.069,10.871
83,2020-04-30,MSFT,1359028326664.0,1295260326664.0,29.868,28.736,3.148,9.954,11.869
82,2020-05-31,MSFT,1389665425262.0,1325897425262.0,30.542,29.155,2.233,10.178,12.137
81,2020-06-30,MSFT,1540774210000.0,1477006210000.0,33.918,32.363,2.48,11.303,13.456
80,2020-07-14,MSFT,1580009775462.0,1516241775462.0,,,,,
79,2020-07-17,MSFT,1538528357311.0,1474760357311.0,,,,,
78,2020-07-23,MSFT,1533430340000.0,1467901340000.0,,,,,
77,2020-07-31,MSFT,1551444528204.0,1485950528204.0,35.592,31.348,2.44,11.013,13.114
76,2020-08-06,MSFT,1637261712487.0,1571732712487.0,,,,,
