date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
04/30/2023,AMZN,"1,081,954,296,399","1,158,900,296,399",251.071,62.112,2.245,2.056,7.002,,
03/31/2023,AMZN,"1,059,548,820,000","1,129,640,820,000",,62.112,3.877,2.048,7.255,,
02/28/2023,AMZN,"966,213,149,462","1,036,305,149,462",,57.804,3.608,1.868,6.616,,
01/31/2023,AMZN,"1,056,799,898,739","1,126,388,898,739",93.712,59.88,6.767,2.098,7.686,,
12/31/2022,AMZN,"856,938,950,784","926,527,950,784",76.329,41.322,4.67,1.709,6.257,,
11/30/2022,AMZN,"984,867,694,151","1,054,456,694,151",87.724,47.619,5.368,1.964,7.163,,
10/31/2022,AMZN,"1,045,057,453,789","1,114,646,453,789",93.085,43.86,4.941,2.084,7.601,,
09/30/2022,AMZN,"1,152,374,000,000","1,216,241,000,000",101.756,46.948,4.5,2.383,8.77,,
08/31/2022,AMZN,"1,291,476,324,277","1,355,343,324,277",114.156,88.496,8.466,2.674,9.828,,
07/31/2022,AMZN,"1,374,810,522,689","1,438,677,522,689",121.522,81.301,7.756,2.846,10.463,,
06/30/2022,AMZN,"1,081,536,430,000","1,128,438,430,000",51.235,64.103,4.006,2.285,8.071,,
05/31/2022,AMZN,"1,223,060,693,215","1,269,962,693,215",57.988,53.476,3.357,2.587,9.127,,
04/30/2022,AMZN,"1,264,490,889,188","1,311,392,889,188",59.952,44.643,2.81,2.674,9.436,,
03/31/2022,AMZN,"1,659,314,550,000","1,679,660,550,000",50.3,57.143,2.963,3.573,12.003,,
02/28/2022,AMZN,"1,562,115,293,165","1,582,461,293,165",47.389,52.91,2.741,3.367,11.3,,
01/31/2022,AMZN,"1,522,192,787,182","1,557,107,787,182",58.507,46.729,1.781,3.356,12.626,,
12/31/2021,AMZN,"1,697,179,060,000","1,732,094,060,000",65.213,52.083,1.985,3.74,14.077,,
11/30/2021,AMZN,"1,778,602,203,673","1,813,517,203,673",68.591,54.645,2.088,3.934,14.752,,
10/31/2021,AMZN,"1,710,319,848,116","1,745,234,848,116",65.958,50.505,2.855,3.783,14.186,,
09/30/2021,AMZN,"1,665,515,280,000","1,682,197,280,000",57.201,45.455,1.417,3.802,14.508,,
08/31/2021,AMZN,"1,757,748,692,410","1,774,430,692,410",60.435,60.976,1.908,4.017,15.311,,
07/31/2021,AMZN,"1,685,226,409,946","1,701,908,409,946",57.942,59.172,1.844,3.851,14.679,,
06/30/2021,AMZN,"1,740,720,960,000","1,752,385,960,000",65.39,57.471,1.387,4.2,16.848,,
05/31/2021,AMZN,"1,625,470,703,789","1,637,135,703,789",61.263,53.763,1.3,3.935,15.732,,
04/30/2021,AMZN,"1,748,702,208,681","1,760,367,208,681",65.908,62.112,1.496,4.234,16.925,,
03/31/2021,AMZN,"1,559,416,320,000","1,559,409,320,000",73.968,60.241,1.468,4.087,16.682,,
03/17/2021,AMZN,"1,579,043,071,567","1,579,036,071,567",,,,,,,
03/05/2021,AMZN,"1,510,925,868,781","1,510,918,868,781",,,,,,,
03/03/2021,AMZN,"1,513,212,052,715","1,513,205,052,715",,,,,,,
