date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
05/31/2023,TSLA,"646,357,012,102","629,529,012,102",59.979,59.172,2.255,8.234,13.451,,
04/30/2023,TSLA,"520,781,251,697","503,953,251,697",48.326,47.847,1.817,6.635,10.837,,
03/31/2023,TSLA,"657,440,740,000","641,003,740,000",57.309,54.054,1.887,8.85,14.707,,
02/28/2023,TSLA,"650,887,566,622","634,450,566,622",56.826,51.546,1.809,8.775,14.56,,
01/31/2023,TSLA,"548,085,869,867","531,648,869,867",47.851,42.553,1.497,7.389,12.26,,
12/31/2022,TSLA,"388,971,946,667","373,738,946,667",38.097,24.272,1.078,5.675,9.78,,
11/30/2022,TSLA,"614,814,401,820","599,581,401,820",60.217,35.714,1.591,8.971,15.428,,
10/31/2022,TSLA,"718,514,992,245","703,281,992,245",70.373,41.841,1.859,10.484,18.03,,
09/30/2022,TSLA,"837,659,500,000","825,409,500,000",95.758,45.045,1.256,13.554,23.028,,
09/02/2022,TSLA,"846,694,940,859","834,444,940,859",,,,,,,
08/31/2022,TSLA,"863,615,679,102","851,365,679,102",99.498,70.423,1.963,14.083,23.741,,
07/31/2022,TSLA,"931,110,623,871","918,860,623,871",107.274,75.758,2.117,15.184,25.597,,
06/30/2022,TSLA,"701,030,219,999","690,042,219,999",91.373,59.172,1.639,12.29,20.567,,
05/31/2022,TSLA,"785,564,885,730","774,576,885,730",102.885,63.694,1.767,13.839,23.047,,
04/30/2022,TSLA,"902,116,002,292","891,128,002,292",118.149,72.993,2.029,15.892,26.467,,
03/31/2022,TSLA,"1,116,393,600,000","1,107,559,600,000",219.918,107.527,3.147,22.604,36.98,,
02/28/2022,TSLA,"899,596,029,842","890,762,029,842",177.639,87.719,2.572,18.258,29.799,,
01/31/2022,TSLA,"968,107,249,375","957,234,249,375",304.13,93.458,2.726,22.719,32.068,,
12/31/2021,TSLA,"1,091,653,740,000","1,085,684,740,000",343.11,121.951,2.67,25.631,40.352,,
11/30/2021,TSLA,"1,149,642,231,975","1,143,673,231,975",371.675,138.889,3.036,27.765,42.496,,
10/31/2021,TSLA,"1,118,751,045,127","1,112,782,045,127",361.688,135.135,2.954,27.019,41.354,,
09/30/2021,TSLA,"778,581,919,999","773,485,919,999",401.803,104.167,2.401,21.081,31.389,,
08/31/2021,TSLA,"737,020,262,234","731,924,262,234",381.202,149.254,3.442,20,29.714,,
07/31/2021,TSLA,"680,338,416,577","675,242,416,577",356.062,144.928,3.317,18.681,27.429,,
06/30/2021,TSLA,"668,824,799,999","664,194,799,999",672.97,169.492,4.11,21.139,29.058,,
05/31/2021,TSLA,"602,293,462,698","597,663,462,698",619.029,140.845,3.72,19.445,26.167,,
04/30/2021,TSLA,"683,425,153,029","678,795,153,029",702.415,158.73,4.221,22.064,29.692,,
03/31/2021,TSLA,"643,216,589,999","637,111,589,999","1,043.642",163.934,4.314,22.938,28.941,,
03/01/2021,TSLA,"689,587,552,878","683,482,552,878",,,,,,,
02/28/2021,TSLA,"648,381,041,951","642,276,041,951","1,055.47",163.934,4.362,23.198,29.174,,
02/12/2021,TSLA,"783,355,641,684","777,250,641,684",,,,,,,
01/31/2021,TSLA,"761,788,800,000","754,143,800,000","1,508.612",196.078,1.579,28.663,34.276,,
01/22/2021,TSLA,"802,530,676,587","803,162,676,587",,,,,,,
01/08/2021,TSLA,"834,171,603,054","834,803,603,054",,,,,,,
12/31/2020,TSLA,"677,443,199,999","678,075,199,999","1,341.58",175.439,1.422,25.49,42.258,,
11/30/2020,TSLA,"538,028,456,050","538,660,456,050","1,079.09",140.845,1.127,20.502,33.562,,
11/27/2020,TSLA,"555,242,333,362","555,874,333,362",,,,,,,
11/20/2020,TSLA,"464,101,677,884","464,733,677,884",,,,,,,
10/31/2020,TSLA,"367,823,400,433","368,455,400,433",737.72,96.154,0.77,14.016,22.945,,
10/26/2020,TSLA,"398,383,720,065","399,015,720,065",,,,,,,
10/16/2020,TSLA,"410,449,591,155","417,311,591,155",,,,,,,
09/30/2020,TSLA,"406,701,479,999","413,563,479,999","1,036.256",114.943,1.01,15.937,41.262,,
09/24/2020,TSLA,"362,017,528,951","368,879,528,951",,,,,,,
09/10/2020,TSLA,"346,660,793,730","353,522,793,730",,,,,,,
08/31/2020,TSLA,"465,201,720,073","472,063,720,073","1,203.671",370.37,3.391,18.512,47.205,,
08/27/2020,TSLA,"417,217,314,082","424,079,314,082",,,,,,,
08/14/2020,TSLA,"307,629,164,725","314,491,164,725",,,,,,,
08/12/2020,TSLA,"289,747,757,115","296,609,757,115",,,,,,,
07/31/2020,TSLA,"266,638,903,091","273,500,903,091",691.188,217.391,2.075,10.63,27.056,,
07/20/2020,TSLA,"304,736,231,713","311,769,231,713",,,,,,,
07/14/2020,TSLA,"281,329,224,748","288,362,224,748",,,,,,,
06/30/2020,TSLA,"200,844,659,999","207,964,659,999",,370.37,3.473,7.615,21.933,,
06/04/2020,TSLA,"160,321,304,910","167,354,304,910",,,,,,,
05/31/2020,TSLA,"154,872,034,984","161,992,034,984",,243.902,2.348,5.888,16.883,,
05/07/2020,TSLA,"144,596,876,744","151,629,876,744",,,,,,,
04/30/2020,TSLA,"144,937,959,577","152,057,959,577",,222.222,2.111,5.514,15.8,,
03/31/2020,TSLA,"96,939,999,999","105,368,999,999",,91.743,1.049,3.774,14.648,,
02/29/2020,TSLA,"123,170,065,557","131,599,065,557",,70.423,0.694,4.811,18.611,,
01/31/2020,TSLA,"117,793,561,289","124,944,561,289",,81.301,2.324,4.685,17.799,,
12/31/2019,TSLA,"75,717,729,999","84,792,729,999",,95.238,,2.998,12.54,,
11/30/2019,TSLA,"59,469,988,448","68,544,988,448",,75.188,,2.365,9.846,,
10/31/2019,TSLA,"56,762,710,681","65,837,710,681",,71.942,2.054,2.257,9.398,,
09/30/2019,TSLA,"43,356,600,000","52,502,692,000",,43.29,1.238,1.672,7.586,,
08/31/2019,TSLA,"40,412,896,390","49,558,988,390",,,,1.566,7.071,,
07/31/2019,TSLA,"43,278,932,214","52,425,024,214",,,,1.677,7.572,,
06/30/2019,TSLA,"39,818,028,801","50,159,972,801",,,,1.696,8.691,,
05/31/2019,TSLA,"32,993,404,694","43,335,348,694",,,,1.405,7.164,,
04/30/2019,TSLA,"41,470,055,021","51,811,999,021",,500,14.208,1.812,9.004,,
03/31/2019,TSLA,"48,337,835,351","58,479,488,351",,51.546,1.471,2.224,9.873,,
02/28/2019,TSLA,"55,250,149,261","65,391,802,261",,51.546,1.473,2.542,11.283,,
01/31/2019,TSLA,"52,992,573,060","61,278,326,060",,52.356,1.496,2.439,10.764,,
12/31/2018,TSLA,"57,442,278,399","67,929,960,399",,61.35,1.758,3.221,12.74,,
11/30/2018,TSLA,"60,188,902,981","70,676,584,981",,59.88,1.707,3.392,13.349,,
10/31/2018,TSLA,"57,928,899,663","66,740,546,663",,62.893,1.795,3.265,12.848,,
09/30/2018,TSLA,"45,167,946,736","56,252,469,736",,74.627,2.131,3.264,11.629,,
08/31/2018,TSLA,"51,461,127,819","62,545,650,819",,,,3.719,13.173,,
07/31/2018,TSLA,"50,860,639,952","60,678,008,952",,,,4.005,11.428,,
06/30/2018,TSLA,"58,230,744,270","68,048,113,270",,,,4.606,13.139,,
05/31/2018,TSLA,"48,345,355,930","58,162,724,930",,,,3.824,10.862,,
04/30/2018,TSLA,"49,902,364,021","58,650,398,021",,,,4.143,11.777,,
03/31/2018,TSLA,"44,954,663,898","53,702,697,898",,,,3.752,10.662,,
02/28/2018,TSLA,"57,949,674,959","66,697,708,959",,,,4.836,13.676,,
01/31/2018,TSLA,"59,806,465,069","67,979,084,069",,,,5.352,12.694,,
12/31/2017,TSLA,"52,327,783,433","60,500,402,433",,,,4.703,11.155,,
11/30/2017,TSLA,"51,907,614,945","60,080,233,945",,,,4.665,11.017,,
10/31/2017,TSLA,"55,719,383,464","62,228,865,464",,,,5.199,10.913,,
09/30/2017,TSLA,"56,925,163,545","63,434,645,545",,,,5.349,11.225,,
08/31/2017,TSLA,"59,395,091,485","65,904,573,485",,,,5.581,11.633,,
07/31/2017,TSLA,"53,982,945,329","59,632,978,329",,,,5.735,10.823,,
06/30/2017,TSLA,"60,339,329,429","65,989,362,429",,,,6.411,12.098,,
05/31/2017,TSLA,"56,014,212,573","61,664,245,573",,,,6.046,11.23,,
04/30/2017,TSLA,"51,568,389,165","56,763,288,165",,,,6.47,10.854,,
03/31/2017,TSLA,"45,686,841,199","50,881,740,199",,,,5.733,9.612,,
02/28/2017,TSLA,"40,415,990,295","44,151,205,295",,,,5.15,8.503,,
01/31/2017,TSLA,"40,729,630,926","40,360,834,926",,454.546,12.969,5.872,15.195,,
12/31/2016,TSLA,"34,423,044,089","34,054,248,089",,384.615,11.001,4.981,12.88,,
11/30/2016,TSLA,"30,510,199,590","30,141,403,590",,,,4.415,11.382,,
10/31/2016,TSLA,"29,637,984,998","29,269,188,998",,370.37,10.761,4.609,11.057,,
09/30/2016,TSLA,"30,568,794,750","30,606,467,750",,128.205,3.655,5.949,12.129,,
08/31/2016,TSLA,"31,524,319,186","31,561,992,186",,,,6.182,12.508,,
07/31/2016,TSLA,"34,911,536,727","36,631,987,727",,,,7.17,35.978,,
06/30/2016,TSLA,"31,420,624,200","33,141,075,200",,833.333,23.785,6.483,32.38,,
05/31/2016,TSLA,"29,900,457,969","31,620,908,969",,86.957,2.492,6.817,30.814,,
04/30/2016,TSLA,"32,248,507,192","33,744,557,192",,95.238,2.717,7.629,29.614,,
03/31/2016,TSLA,"30,756,552,660","32,252,602,660",,90.909,2.591,7.28,28.244,,
02/29/2016,TSLA,"25,345,572,952","26,841,622,952",,85.47,0.87,6.081,23.275,,
01/31/2016,TSLA,"25,128,459,999","26,381,807,999",,76.336,0.816,6.4,19.206,,
12/31/2015,TSLA,"31,543,314,249","32,796,662,249",,156.25,1.666,8.033,23.994,,
11/30/2015,TSLA,"30,152,850,712","31,406,198,712",,136.986,1.474,7.707,22.936,,
10/31/2015,TSLA,"27,097,756,440","28,634,974,440",,97.087,1.014,7.027,37.85,,
09/30/2015,TSLA,"32,515,808,400","34,053,026,400",,106.383,1.105,8.436,45.417,,
