date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
07/31/2021,META,"1,004,568,075,705","952,495,075,705",26.432,28.249,1.124,9.828,7.268,,
06/30/2021,META,"982,628,460,000","930,023,460,000",29.77,29.07,1.175,10.651,7.352,,
05/31/2021,META,"932,102,354,880","879,497,354,880",28.145,27.548,1.111,10.069,6.974,,
04/30/2021,META,"921,752,908,236","869,147,908,236",27.832,27.248,1.176,9.957,6.896,,
03/31/2021,META,"836,759,730,000","785,459,730,000",29.19,26.316,1.134,9.895,6.522,,
03/03/2021,META,"727,323,382,184","676,023,382,184",,,,,,,
02/28/2021,META,"733,616,732,776","682,316,732,776",25.532,22.989,0.992,8.655,5.718,,
02/10/2021,META,"774,196,029,577","722,896,029,577",,,,,,,
01/31/2021,META,"735,638,578,441","684,338,578,441",25.603,23.202,0.828,8.679,5.734,,
01/27/2021,META,"775,134,367,485","730,130,367,485",,,,,,,
12/31/2020,META,"778,232,840,000","733,228,840,000",31.112,25.126,0.914,9.968,6.61,,
12/11/2020,META,"779,150,460,151","734,146,460,151",,,,,,,
12/04/2020,META,"796,667,460,078","751,663,460,078",,,,,,,
11/30/2020,META,"788,891,621,086","743,887,621,086",31.546,25.445,0.927,10.107,6.701,,
11/20/2020,META,"768,184,533,368","723,180,533,368",,,,,,,
11/13/2020,META,"788,834,655,232","743,830,655,232",,,,,,,
11/06/2020,META,"835,717,552,597","790,713,552,597",,,,,,,
10/31/2020,META,"749,414,284,665","704,410,284,665",29.967,24.938,0.934,9.602,6.365,,
10/28/2020,META,"762,542,530,003","714,834,530,003",,,,,,,
10/15/2020,META,"759,836,154,976","712,128,154,976",,,,,,,
09/30/2020,META,"746,415,000,000","698,707,000,000",32.017,24.631,0.951,10.027,6.758,,
09/24/2020,META,"710,865,011,065","663,157,011,065",,,,,,,
08/31/2020,META,"835,272,797,837","787,564,797,837",35.844,37.453,1.449,11.226,7.563,,
08/06/2020,META,"755,733,860,198","708,025,860,198",,,,,,,
07/31/2020,META,"722,659,108,551","674,951,108,551",31.011,34.364,1.367,9.712,6.543,,
07/13/2020,META,"681,871,672,450","631,926,672,450",,,,,,,
06/30/2020,META,"647,149,500,000","597,204,500,000",31.148,31.447,1.338,8.902,6.146,,
06/04/2020,META,"644,723,585,756","594,778,585,756",,,,,,,
05/31/2020,META,"641,304,661,796","591,359,661,796",30.877,31.153,1.326,8.824,6.098,,
04/30/2020,META,"583,239,936,542","533,294,936,542",28.081,27.701,1.186,8.025,5.539,,
03/31/2020,META,"475,546,800,000","431,292,800,000",25.941,19.493,0.801,6.786,4.706,,
03/05/2020,META,,"484,187,948,526",,,,,,,
02/29/2020,META,"548,626,238,336","504,372,238,336",29.933,21.053,0.866,7.83,5.429,,
01/31/2020,META,"575,534,492,558","531,280,492,558",31.401,21.978,0.903,8.214,5.695,,
12/31/2019,META,"585,373,000,000","542,236,000,000",32.893,22.222,1.198,8.882,6.227,,
