date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
07/31/2018,MSFT,"813,444,492,881","761,484,492,881",49.803,24.691,2.006,7.492,9.834,,
06/30/2018,MSFT,"757,640,105,770","708,278,105,770",66.628,24.213,2.164,7.749,9.554,,
05/31/2018,MSFT,"759,407,241,196","710,045,241,196",66.784,24.272,2.169,7.768,9.584,,
04/30/2018,MSFT,"718,532,630,480","669,170,630,480",63.189,23.095,1.88,7.349,9.068,,
03/31/2018,MSFT,"702,760,093,602","654,880,093,602",74.203,23.095,1.876,7.447,8.957,,
02/28/2018,MSFT,"722,009,575,732","674,129,575,732",76.236,25.575,2.08,7.651,9.214,,
01/31/2018,MSFT,"731,557,318,868","683,677,318,868",77.244,28.011,2.48,7.753,9.336,,
12/31/2017,MSFT,"659,906,045,280","612,678,045,280",30.226,25.253,2.777,7.22,7.352,,
11/30/2017,MSFT,"649,337,056,713","602,109,056,713",29.742,24.814,2.733,7.105,7.243,,
10/31/2017,MSFT,"641,699,612,420","594,471,612,420",29.392,24.814,2.438,7.021,7.158,,
09/30/2017,MSFT,"574,722,598,583","527,935,598,583",27.487,22.989,2.332,6.486,7.944,,
08/31/2017,MSFT,"575,896,782,309","529,109,782,309",27.59,23.095,2.341,6.51,7.955,,
07/31/2017,MSFT,"559,953,137,273","513,166,137,273",26.827,22.173,2.771,6.33,7.735,,
06/30/2017,MSFT,"531,312,440,000","489,302,440,000",30.366,20.325,1.904,6.212,7.62,,
05/31/2017,MSFT,"539,200,748,813","497,190,748,813",30.767,20.534,2.105,6.294,7.733,,
04/30/2017,MSFT,"528,546,438,484","486,536,438,484",30.159,20.921,2.351,6.169,7.58,,
03/31/2017,MSFT,"508,636,780,000","470,825,780,000",30.92,20.121,2.267,6.076,7.392,,
02/28/2017,MSFT,"494,407,357,883","456,596,357,883",30.038,21.598,2.437,5.903,7.185,,
01/31/2017,MSFT,"499,584,802,863","461,773,802,863",30.352,22.272,2.513,5.965,7.26,,
12/31/2016,MSFT,"483,160,280,132","420,918,280,132",29.732,21.097,2.583,5.793,6.826,,
11/30/2016,MSFT,"468,542,621,190","406,300,621,190",28.833,20.45,2.719,5.618,6.658,,
10/31/2016,MSFT,"465,899,002,019","403,657,002,019",28.67,20.367,2.704,5.586,6.621,,
09/30/2016,MSFT,"448,358,400,000","388,805,400,000",27.429,19.531,2.322,5.41,6.227,,
08/31/2016,MSFT,"447,757,944,824","388,204,944,824",27.362,19.57,2.408,5.396,6.219,,
07/31/2016,MSFT,"441,679,782,677","382,126,782,677",26.99,19.418,2.39,5.323,6.135,,
06/30/2016,MSFT,"399,535,360,000","340,377,360,000",38.765,17.825,2.028,4.75,5.341,,
05/31/2016,MSFT,"416,604,743,368","357,446,743,368",40.152,17.986,2.177,4.92,5.569,,
04/30/2016,MSFT,"392,001,482,108","332,843,482,108",37.78,16.611,2.012,4.629,5.24,,
03/31/2016,MSFT,"434,660,100,000","376,449,100,000",38.622,17.422,1.211,5.089,5.661,,
02/29/2016,MSFT,"402,425,325,141","344,214,325,141",35.58,16.026,1.115,4.689,5.241,,
01/31/2016,MSFT,"435,723,489,819","377,512,489,819",38.524,16.949,1.18,5.077,5.675,,
12/31/2015,MSFT,"439,679,000,000","378,891,000,000",36.742,19.493,1.355,5.002,5.677,,
11/30/2015,MSFT,"434,143,079,811","373,355,079,811",35.993,19.011,1.323,4.9,5.606,,
10/31/2015,MSFT,"420,483,748,321","359,695,748,321",34.861,18.519,1.288,4.746,5.429,,
09/30/2015,MSFT,"353,460,360,000","292,226,360,000",29.905,15.723,1.094,3.904,4.414,,
08/31/2015,MSFT,"348,072,131,770","286,838,131,770",29.405,15.456,1.076,3.839,4.346,,
07/31/2015,MSFT,"373,505,711,252","312,271,711,252",31.554,16.584,1.154,4.119,4.664,,
06/30/2015,MSFT,"354,392,050,000","290,822,050,000",18.32,15.291,2.029,3.871,3.932,,
05/31/2015,MSFT,"379,077,497,480","315,507,497,480",19.444,16.234,2.154,4.109,4.206,,
04/30/2015,MSFT,"393,476,941,473","329,906,941,473",20.183,16.722,2.242,4.265,4.366,,
03/31/2015,MSFT,"329,834,015,000","267,893,015,000",16.393,13.55,1.753,3.632,3.59,,
02/28/2015,MSFT,"359,735,987,202","297,794,987,202",17.681,14.286,1.616,3.917,3.915,,
01/31/2015,MSFT,"331,432,927,776","269,491,927,776",16.29,13.158,1.489,3.609,3.607,,
12/31/2014,MSFT,"381,726,100,000","316,253,100,000",18.216,16.077,1.757,4.253,4.233,,
11/30/2014,MSFT,"394,090,793,658","328,617,793,658",18.749,16.529,1.772,4.378,4.371,,
10/31/2014,MSFT,"387,001,940,227","321,528,940,227",18.412,16.313,1.748,4.299,4.292,,
09/30/2014,MSFT,"382,701,800,000","319,637,800,000",17.627,16.208,1.737,4.484,4.262,,
08/31/2014,MSFT,"374,336,330,484","311,272,330,484",17.274,15.456,1.657,4.394,4.169,,
07/31/2014,MSFT,"355,631,873,733","292,567,873,733",16.411,14.728,1.561,4.175,3.961,,
