,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
105,2018-06-30,AMZN,824788691419.0,824465691419.0,214.081,135.135,3.0,4.355,26.31
104,2018-07-31,AMZN,866930698976.0,864518698976.0,140.843,107.527,1.811,4.245,24.773
103,2018-08-31,AMZN,981681568512.0,979269568512.0,159.486,119.048,1.995,4.806,28.052
102,2018-09-30,AMZN,976945601567.0,974533601567.0,158.716,72.993,1.226,4.783,27.989
101,2018-10-31,AMZN,781376757230.0,776295757230.0,89.474,57.471,0.971,3.609,19.971
100,2018-11-30,AMZN,826440105986.0,821359105986.0,94.634,60.606,1.027,3.817,21.123
99,2018-12-31,AMZN,737467270000.0,732386270000.0,84.097,55.866,0.944,3.392,18.849
98,2019-01-31,AMZN,844245143129.0,826490143129.0,85.339,60.241,1.023,3.69,19.386
97,2019-02-28,AMZN,806402379363.0,804939379363.0,81.422,56.818,2.023,3.521,18.517
96,2019-03-31,AMZN,876224084927.0,874761084927.0,88.419,61.728,2.197,3.823,20.118
95,2019-04-30,AMZN,948487013099.0,968064013099.0,80.406,63.694,2.238,3.996,19.593
94,2019-05-31,AMZN,873923365624.0,893500365624.0,74.085,55.249,1.944,3.682,18.053
93,2019-06-30,AMZN,932294220986.0,951871220986.0,79.033,58.824,1.319,3.928,19.324
92,2019-07-31,AMZN,923413955681.0,940413955681.0,77.428,66.667,1.51,3.718,17.403
91,2019-08-31,AMZN,878652532884.0,895652532884.0,73.674,66.225,1.504,3.538,16.559
90,2019-09-30,AMZN,859275450000.0,876275450000.0,72.0,44.843,1.015,3.457,16.194
89,2019-10-31,AMZN,880863088885.0,896992088885.0,78.718,53.763,1.226,3.361,15.588
88,2019-11-30,AMZN,892831633776.0,908960633776.0,79.787,56.497,1.287,3.407,15.8
87,2019-12-31,AMZN,920224320000.0,936353320000.0,81.872,58.14,1.321,3.496,16.285
86,2020-01-31,AMZN,999961795071.0,1008145795071.0,87.298,68.027,1.553,3.609,16.113
85,2020-02-29,AMZN,937836483003.0,946020483003.0,81.867,64.103,1.451,3.384,15.112
84,2020-03-05,AMZN,,965986228569.0,,,,,
83,2020-03-31,AMZN,972910280000.0,981094280000.0,84.734,66.225,1.501,3.503,15.677
82,2020-04-30,AMZN,1233971903168.0,1248416903168.0,118.204,85.47,1.944,4.217,18.905
81,2020-05-08,AMZN,1186892433507.0,1201337433507.0,,,,,
80,2020-05-31,AMZN,1218195617275.0,1232640617275.0,116.692,98.039,2.273,4.163,18.663
79,2020-06-30,AMZN,1382168820000.0,1396613820000.0,131.812,128.205,2.972,4.702,21.176
78,2020-07-16,AMZN,1496278218396.0,1510723218396.0,,,,,
77,2020-07-28,AMZN,1496492692090.0,1510937692090.0,,,,,
