,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
212,SPY250618C00555000,2025-06-17 15:21:00,555,43.20,0.00,0.00,0.00,0.00%,11.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
213,SPY250618C00556000,2025-06-17 13:43:00,556,43.59,0.00,0.00,0.00,0.00%,7.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
214,SPY250618C00557000,2025-06-17 10:15:00,557,44.56,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
216,SPY250618C00559000,2025-06-17 16:13:00,559,38.67,0.00,0.00,0.00,0.00%,,,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
217,SPY250618C00560000,2025-06-17 16:13:00,560,37.94,0.00,0.00,0.00,0.00%,19.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
218,SPY250618C00561000,2025-06-17 14:34:00,561,36.63,0.00,0.00,0.00,0.00%,,,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
219,SPY250618C00562000,2025-06-16 09:48:00,562,39.69,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,1,2025-06-16,short
220,SPY250618C00563000,2025-06-17 12:23:00,563,38.49,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
221,SPY250618C00564000,2025-06-13 14:36:00,564,32.93,0.00,0.00,0.00,0.00%,,0.0,0.0,"Jun 18, 2025",2025-06-18,call,4,2025-06-13,short
222,SPY250618C00565000,2025-06-17 14:07:00,565,33.03,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
223,SPY250618C00566000,2025-06-17 14:07:00,566,32.03,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
224,SPY250618C00567000,2025-06-17 13:14:00,567,33.16,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
226,SPY250618C00569000,2025-06-17 14:59:00,569,29.22,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
227,SPY250618C00570000,2025-06-17 14:46:00,570,27.75,0.00,0.00,0.00,0.00%,16.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
228,SPY250618C00571000,2025-06-16 15:10:00,571,31.08,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,1,2025-06-16,short
229,SPY250618C00572000,2025-06-17 15:08:00,572,25.82,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
230,SPY250618C00573000,2025-06-17 14:17:00,573,25.00,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
231,SPY250618C00574000,2025-06-17 15:55:00,574,23.67,0.00,0.00,0.00,0.00%,18.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
232,SPY250618C00575000,2025-06-17 14:31:00,575,22.95,0.00,0.00,0.00,0.00%,9.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
233,SPY250618C00576000,2025-06-17 14:55:00,576,22.00,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
234,SPY250618C00577000,2025-06-17 15:41:00,577,20.78,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
235,SPY250618C00578000,2025-06-17 15:50:00,578,20.80,0.00,0.00,0.00,0.00%,20.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
236,SPY250618C00579000,2025-06-17 15:26:00,579,19.49,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
237,SPY250618C00580000,2025-06-17 16:12:00,580,17.76,0.00,0.00,0.00,0.00%,22.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
238,SPY250618C00581000,2025-06-17 15:32:00,581,17.47,0.00,0.00,0.00,0.00%,23.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
239,SPY250618C00582000,2025-06-17 14:44:00,582,15.70,0.00,0.00,0.00,0.00%,27.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
240,SPY250618C00583000,2025-06-17 16:02:00,583,15.29,0.00,0.00,0.00,0.00%,40.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
241,SPY250618C00584000,2025-06-17 14:11:00,584,14.51,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
242,SPY250618C00585000,2025-06-17 16:11:00,585,13.12,0.00,0.00,0.00,0.00%,408.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
243,SPY250618C00586000,2025-06-17 15:56:00,586,12.39,0.00,0.00,0.00,0.00%,119.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
244,SPY250618C00587000,2025-06-17 15:34:00,587,11.74,0.00,0.00,0.00,0.00%,77.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
245,SPY250618C00588000,2025-06-17 16:01:00,588,10.64,0.00,0.00,0.00,0.00%,223.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
246,SPY250618C00589000,2025-06-17 15:59:00,589,9.32,0.00,0.00,0.00,0.00%,280.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
247,SPY250618C00590000,2025-06-17 16:14:00,590,8.54,0.00,0.00,0.00,0.00%,1.076,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
248,SPY250618C00591000,2025-06-17 16:14:00,591,7.66,0.00,0.00,0.00,0.00%,341.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
249,SPY250618C00592000,2025-06-17 16:12:00,592,6.88,0.00,0.00,0.00,0.00%,239.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
250,SPY250618C00593000,2025-06-17 16:13:00,593,6.07,0.00,0.00,0.00,0.00%,660.0,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
251,SPY250618C00594000,2025-06-17 16:14:00,594,5.32,0.00,0.00,0.00,0.00%,1.027,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
252,SPY250618C00595000,2025-06-17 16:14:00,595,4.58,0.00,0.00,0.00,0.00%,7.569,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
253,SPY250618C00596000,2025-06-17 16:14:00,596,3.91,0.00,0.00,0.00,0.00%,8.257,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
254,SPY250618C00597000,2025-06-17 16:14:00,597,3.30,0.00,0.00,0.00,0.00%,22.014,0.0,0.0,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
255,SPY250618C00598000,2025-06-17 16:14:00,598,2.70,0.00,0.00,0.00,0.00%,35.24,0.0,0.0039000000000000003,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
256,SPY250618C00599000,2025-06-17 16:14:00,599,2.17,0.00,0.00,0.00,0.00%,43.949,0.0,0.015600000000000001,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
257,SPY250618C00600000,2025-06-17 16:14:00,600,1.68,0.00,0.00,0.00,0.00%,75.647,0.0,0.015600000000000001,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
258,SPY250618C00601000,2025-06-17 16:14:00,601,1.27,0.00,0.00,0.00,0.00%,79.105,0.0,0.0313,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
259,SPY250618C00602000,2025-06-17 16:14:00,602,0.94,0.00,0.00,0.00,0.00%,59.994,0.0,0.0313,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
260,SPY250618C00603000,2025-06-17 16:14:00,603,0.66,0.00,0.00,0.00,0.00%,39.472,0.0,0.0313,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
261,SPY250618C00604000,2025-06-17 16:14:00,604,0.45,0.00,0.00,0.00,0.00%,23.911,0.0,0.0625,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
262,SPY250618C00605000,2025-06-17 16:14:00,605,0.31,0.00,0.00,0.00,0.00%,34.718,0.0,0.0625,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
263,SPY250618C00606000,2025-06-17 16:14:00,606,0.21,0.00,0.00,0.00,0.00%,21.106,0.0,0.0625,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
264,SPY250618C00607000,2025-06-17 16:14:00,607,0.14,0.00,0.00,0.00,0.00%,14.865,0.0,0.0625,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
265,SPY250618C00608000,2025-06-17 16:14:00,608,0.09,0.00,0.00,0.00,0.00%,13.25,0.0,0.0625,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
266,SPY250618C00609000,2025-06-17 16:14:00,609,0.07,0.00,0.00,0.00,0.00%,9.963,0.0,0.0625,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
267,SPY250618C00610000,2025-06-17 16:14:00,610,0.04,0.00,0.00,0.00,0.00%,13.997,0.0,0.125,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
268,SPY250618C00611000,2025-06-17 16:14:00,611,0.03,0.00,0.00,0.00,0.00%,7.235,0.0,0.125,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
269,SPY250618C00612000,2025-06-17 16:14:00,612,0.03,0.00,0.00,0.00,0.00%,4.637,0.0,0.125,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
270,SPY250618C00613000,2025-06-17 16:14:00,613,0.02,0.00,0.00,0.00,0.00%,2.117,0.0,0.125,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
271,SPY250618C00614000,2025-06-17 16:06:00,614,0.02,0.00,0.00,0.00,0.00%,947.0,0.0,0.125,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
272,SPY250618C00615000,2025-06-17 16:14:00,615,0.02,0.00,0.00,0.00,0.00%,2.147,0.0,0.125,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
273,SPY250618C00616000,2025-06-17 15:49:00,616,0.01,0.00,0.00,0.00,0.00%,592.0,0.0,0.125,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
274,SPY250618C00617000,2025-06-17 16:14:00,617,0.01,0.00,0.00,0.00,0.00%,451.0,0.0,0.125,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
275,SPY250618C00618000,2025-06-17 16:04:00,618,0.01,0.00,0.00,0.00,0.00%,715.0,0.0,0.125,"Jun 18, 2025",2025-06-18,call,0,2025-06-17,short
