,date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio
129,2016-05-31,AAPL,546975660500.0,571564660500.0,11.071,11.891,1.334,2.479,4.193
128,2016-06-30,AAPL,515586574000.0,540175574000.0,10.599,10.661,1.196,2.373,3.952
127,2016-07-31,AAPL,561529645030.0,584708645030.0,12.132,11.455,2.113,2.636,4.438
126,2016-08-31,AAPL,571713802300.0,594892802300.0,12.352,11.82,2.242,2.684,4.518
125,2016-09-30,AAPL,603253566300.0,626432566300.0,13.161,12.658,2.428,2.86,4.767
124,2016-10-31,AAPL,605430818020.0,625307818020.0,13.663,12.658,2.016,2.896,4.721
123,2016-11-30,AAPL,589327232760.0,609204232760.0,13.3,12.315,1.962,2.819,4.595
122,2016-12-31,AAPL,608960249120.0,628837249120.0,13.937,12.903,2.056,2.954,4.746
121,2017-01-31,AAPL,636667629000.0,663764629000.0,14.464,13.532,2.155,3.023,4.809
120,2017-02-28,AAPL,718723514600.0,745820514600.0,16.328,15.291,2.349,3.413,5.429
119,2017-03-31,AAPL,753717936400.0,780814936400.0,17.123,16.026,2.463,3.579,5.693
118,2017-04-30,AAPL,748968116000.0,776065116000.0,17.122,16.367,2.399,3.579,5.657
117,2017-05-31,AAPL,796466198400.0,827887198400.0,17.804,17.544,2.573,3.717,5.94
116,2017-06-30,AAPL,750897236800.0,782318236800.0,16.786,13.947,2.043,3.504,5.6
115,2017-07-31,AAPL,768224360440.0,799645360440.0,17.334,13.947,2.043,3.619,5.73
114,2017-08-31,AAPL,847097392000.0,878677392000.0,18.573,15.152,2.221,3.892,6.397
113,2017-09-30,AAPL,796064939360.0,827644939360.0,17.454,14.245,2.087,3.657,5.966
112,2017-10-31,AAPL,867904100480.0,899484100480.0,19.144,15.625,2.289,4.012,6.554
111,2017-11-30,AAPL,882331517200.0,923830517200.0,18.659,15.129,1.42,3.937,6.582
110,2017-12-31,AAPL,860882486880.0,902381486880.0,18.375,14.903,1.399,3.877,6.415
109,2018-01-31,AAPL,849541996590.0,891040996590.0,18.179,14.749,1.384,3.836,6.338
108,2018-02-28,AAPL,903783195560.0,949030195560.0,18.287,16.026,1.168,3.879,6.446
107,2018-03-31,AAPL,851317901140.0,896564901140.0,17.226,14.97,1.092,3.654,5.916
106,2018-04-30,AAPL,812275705880.0,857522705880.0,16.967,15.015,1.095,3.599,5.794
