,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
85,AVGO250620C00126000,2025-04-23 15:54:00,126,54.45,102.75,103.65,0.00,0.00%,1.0,66.0,0.0,"Jun 20, 2025",2025-06-20,call,57,2025-04-23,long
86,AVGO250620C00127000,2025-04-17 12:11:00,127,48.30,101.70,102.70,0.00,0.00%,3.0,81.0,0.0,"Jun 20, 2025",2025-06-20,call,63,2025-04-17,long
87,AVGO250620C00128000,2025-06-13 14:15:00,128,122.50,0.00,0.00,0.00,0.00%,22.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
88,AVGO250620C00129000,2025-04-17 14:22:00,129,47.60,99.70,100.70,0.00,0.00%,3.0,122.0,0.0,"Jun 20, 2025",2025-06-20,call,63,2025-04-17,long
89,AVGO250620C00130000,2025-06-16 11:10:00,130,123.89,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
94,AVGO250620C00136000,2025-06-16 13:47:00,136,117.50,0.00,0.00,0.00,0.00%,35.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
95,AVGO250620C00138000,2025-06-17 10:11:00,138,116.07,0.00,0.00,0.00,0.00%,9.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
96,AVGO250620C00140000,2025-06-17 13:50:00,140,108.50,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
97,AVGO250620C00142000,2025-06-13 11:31:00,142,111.02,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
98,AVGO250620C00144000,2025-06-17 11:12:00,144,106.61,0.00,0.00,0.00,0.00%,10.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
99,AVGO250620C00145000,2025-06-17 10:59:00,145,104.68,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
101,AVGO250620C00148000,2025-06-17 10:11:00,148,106.00,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
102,AVGO250620C00150000,2025-06-17 15:35:00,150,101.95,0.00,0.00,0.00,0.00%,14.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
103,AVGO250620C00152000,2025-06-17 13:51:00,152,96.20,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
104,AVGO250620C00154000,2025-06-17 11:36:00,154,96.14,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
