,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
163,AAPL250627C00120000,2025-05-06 15:15:00,120,82.10,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Jun 27, 2025",2025-06-27,call,51,2025-05-06,long
167,AAPL250627C00145000,2025-05-27 09:31:00,145,54.65,0.00,0.00,0.00,0.00%,,0.0,0.0,"Jun 27, 2025",2025-06-27,call,30,2025-05-27,medium
170,AAPL250627C00160000,2025-06-17 13:16:00,160,36.90,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
171,AAPL250627C00165000,2025-06-17 10:14:00,165,32.96,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
172,AAPL250627C00170000,2025-06-17 15:54:00,170,25.95,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
173,AAPL250627C00172500,2025-06-16 14:36:00,172.5,25.85,0.00,0.00,0.00,0.00%,,0.0,0.0,"Jun 27, 2025",2025-06-27,call,10,2025-06-16,short
174,AAPL250627C00175000,2025-06-17 15:02:00,175,21.25,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
175,AAPL250627C00177500,2025-06-17 14:01:00,177.5,18.95,0.00,0.00,0.00,0.00%,,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
176,AAPL250627C00180000,2025-06-17 15:29:00,180,16.44,0.00,0.00,0.00,0.00%,82.0,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
177,AAPL250627C00182500,2025-06-17 15:17:00,182.5,14.30,0.00,0.00,0.00,0.00%,37.0,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
178,AAPL250627C00185000,2025-06-17 15:19:00,185,11.80,0.00,0.00,0.00,0.00%,54.0,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
179,AAPL250627C00187500,2025-06-17 15:35:00,187.5,9.55,0.00,0.00,0.00,0.00%,2.623,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
180,AAPL250627C00190000,2025-06-17 15:59:00,190,7.57,0.00,0.00,0.00,0.00%,427.0,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
181,AAPL250627C00192500,2025-06-17 15:59:00,192.5,5.76,0.00,0.00,0.00,0.00%,6.674,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
182,AAPL250627C00195000,2025-06-17 15:59:00,195,4.25,0.00,0.00,0.00,0.00%,3.936,0.0,0.0,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
183,AAPL250627C00197500,2025-06-17 15:59:00,197.5,2.90,0.00,0.00,0.00,0.00%,5.219,0.0,0.015600000000000001,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
184,AAPL250627C00200000,2025-06-17 15:59:00,200,1.87,0.00,0.00,0.00,0.00%,11.623,0.0,0.0313,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
185,AAPL250627C00202500,2025-06-17 15:59:00,202.5,1.15,0.00,0.00,0.00,0.00%,7.715,0.0,0.0625,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
186,AAPL250627C00205000,2025-06-17 15:59:00,205,0.69,0.00,0.00,0.00,0.00%,7.863,0.0,0.0625,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
187,AAPL250627C00207500,2025-06-17 15:59:00,207.5,0.40,0.00,0.00,0.00,0.00%,2.508,0.0,0.0625,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
188,AAPL250627C00210000,2025-06-17 15:59:00,210,0.25,0.00,0.00,0.00,0.00%,27.266,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
189,AAPL250627C00212500,2025-06-17 15:59:00,212.5,0.15,0.00,0.00,0.00,0.00%,707.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
190,AAPL250627C00215000,2025-06-17 15:59:00,215,0.11,0.00,0.00,0.00,0.00%,1.429,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
191,AAPL250627C00217500,2025-06-17 15:39:00,217.5,0.07,0.00,0.00,0.00,0.00%,317.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
192,AAPL250627C00220000,2025-06-17 15:59:00,220,0.05,0.00,0.00,0.00,0.00%,2.083,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
193,AAPL250627C00222500,2025-06-17 12:45:00,222.5,0.06,0.00,0.00,0.00,0.00%,152.0,0.0,0.125,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
194,AAPL250627C00225000,2025-06-17 15:46:00,225,0.03,0.00,0.00,0.00,0.00%,153.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
195,AAPL250627C00227500,2025-06-17 12:55:00,227.5,0.03,0.00,0.00,0.00,0.00%,24.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
196,AAPL250627C00230000,2025-06-17 15:47:00,230,0.02,0.00,0.00,0.00,0.00%,124.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
197,AAPL250627C00235000,2025-06-17 14:15:00,235,0.02,0.00,0.00,0.00,0.00%,19.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
198,AAPL250627C00240000,2025-06-17 13:10:00,240,0.01,0.00,0.00,0.00,0.00%,105.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
199,AAPL250627C00245000,2025-06-17 15:31:00,245,0.01,0.00,0.00,0.00,0.00%,45.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
200,AAPL250627C00250000,2025-06-17 14:23:00,250,0.01,0.00,0.00,0.00,0.00%,46.0,0.0,0.25,"Jun 27, 2025",2025-06-27,call,9,2025-06-17,short
