date,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
05/31/2019,AAPL,"805,510,200,250","838,048,200,250",14.662,15.432,1.705,3.259,7.609,,
04/30/2019,AAPL,"923,297,720,250","955,835,720,250",16.807,17.606,1.934,3.736,8.722,,
03/31/2019,AAPL,"895,667,436,000","923,970,436,000",15.57,16.584,1.821,3.561,7.423,,
02/28/2019,AAPL,"816,450,732,000","844,753,732,000",14.193,15.106,1.66,3.246,6.925,,
01/31/2019,AAPL,"784,811,203,200","813,114,203,200",13.643,14.514,1.595,3.12,6.657,,
12/31/2018,AAPL,"746,079,125,220","794,261,125,220",13.244,12.077,1.25,2.97,6.963,,
11/30/2018,AAPL,"847,433,174,840","895,615,174,840",14.994,13.68,1.415,3.362,7.909,,
10/31/2018,AAPL,"1,038,577,806,280","1,082,207,806,280",19.788,16.077,1.237,4.359,9.035,,
09/30/2018,AAPL,"1,090,307,495,240","1,133,937,495,240",20.41,16.695,1.285,4.496,9.338,,
08/31/2018,AAPL,"1,099,436,055,380","1,143,066,055,380",20.581,17.007,1.308,4.534,9.565,,
07/31/2018,AAPL,"919,086,618,540","962,716,618,540",17.205,14.815,1.15,3.79,7.996,,
06/30/2018,AAPL,"909,841,195,180","943,741,195,180",17.833,14.43,1.11,3.861,7.066,,
05/31/2018,AAPL,"918,491,838,060","952,391,838,060",18.003,16.313,1.255,3.898,7.239,,
04/30/2018,AAPL,"812,275,705,880","857,522,705,880",16.967,15.015,1.095,3.599,5.794,,
03/31/2018,AAPL,"851,317,901,140","896,564,901,140",17.226,14.97,1.092,3.654,5.916,,
02/28/2018,AAPL,"903,783,195,560","949,030,195,560",18.287,16.026,1.168,3.879,6.446,,
01/31/2018,AAPL,"849,541,996,590","891,040,996,590",18.179,14.749,1.384,3.836,6.338,,
12/31/2017,AAPL,"860,882,486,880","902,381,486,880",18.375,14.903,1.399,3.877,6.415,,
11/30/2017,AAPL,"882,331,517,200","923,830,517,200",18.659,15.129,1.42,3.937,6.582,,
10/31/2017,AAPL,"867,904,100,480","899,484,100,480",19.144,15.625,2.289,4.012,6.554,,
09/30/2017,AAPL,"796,064,939,360","827,644,939,360",17.454,14.245,2.087,3.657,5.966,,
08/31/2017,AAPL,"847,097,392,000","878,677,392,000",18.573,15.152,2.221,3.892,6.397,,
07/31/2017,AAPL,"768,224,360,440","799,645,360,440",17.334,13.947,2.043,3.619,5.73,,
06/30/2017,AAPL,"750,897,236,800","782,318,236,800",16.786,13.947,2.043,3.504,5.6,,
05/31/2017,AAPL,"796,466,198,400","827,887,198,400",17.804,17.544,2.573,3.717,5.94,,
04/30/2017,AAPL,"748,968,116,000","776,065,116,000",17.122,16.367,2.399,3.579,5.657,,
03/31/2017,AAPL,"753,717,936,400","780,814,936,400",17.123,16.026,2.463,3.579,5.693,,
02/28/2017,AAPL,"718,723,514,600","745,820,514,600",16.328,15.291,2.349,3.413,5.429,,
01/31/2017,AAPL,"636,667,629,000","663,764,629,000",14.464,13.532,2.155,3.023,4.809,,
12/31/2016,AAPL,"608,960,249,120","628,837,249,120",13.937,12.903,2.056,2.954,4.746,,
11/30/2016,AAPL,"589,327,232,760","609,204,232,760",13.3,12.315,1.962,2.819,4.595,,
10/31/2016,AAPL,"605,430,818,020","625,307,818,020",13.663,12.658,2.016,2.896,4.721,,
09/30/2016,AAPL,"603,253,566,300","626,432,566,300",13.161,12.658,2.428,2.86,4.767,,
08/31/2016,AAPL,"571,713,802,300","594,892,802,300",12.352,11.82,2.242,2.684,4.518,,
07/31/2016,AAPL,"561,529,645,030","584,708,645,030",12.132,11.455,2.113,2.636,4.438,,
06/30/2016,AAPL,"515,586,574,000","540,175,574,000",10.599,10.661,1.196,2.373,3.952,,
05/31/2016,AAPL,"546,975,660,500","571,564,660,500",11.071,11.891,1.334,2.479,4.193,,
04/30/2016,AAPL,"513,453,819,500","538,042,819,500",10.392,9.709,1.04,2.327,3.936,,
03/31/2016,AAPL,"597,095,829,540","621,984,829,540",11.546,11.655,1.248,2.654,4.655,,
02/29/2016,AAPL,"536,105,730,270","560,994,730,270",10.243,9.488,1.016,2.354,4.18,,
01/31/2016,AAPL,"539,709,709,220","564,598,709,220",10.311,9.452,1.012,2.37,4.208,,
12/31/2015,AAPL,"583,612,701,620","606,473,701,620",11.416,10.56,1.065,2.609,4.89,,
11/30/2015,AAPL,"659,561,657,300","682,422,657,300",12.831,11.848,0.852,2.932,5.526,,
10/31/2015,AAPL,"666,252,054,500","689,113,054,500",12.961,11.962,0.86,2.962,5.582,,
09/30/2015,AAPL,"615,336,455,900","635,051,455,900",12.722,11.038,0.794,2.884,4.896,,
08/31/2015,AAPL,"643,038,932,720","662,753,932,720",13.006,11.223,0.82,2.948,5.117,,
07/31/2015,AAPL,"691,740,178,600","711,455,178,600",13.991,12.121,0.885,3.171,5.504,,
06/30/2015,AAPL,"715,599,795,000","726,374,795,000",15.485,12.531,0.901,3.509,5.547,,
05/31/2015,AAPL,"750,546,988,400","761,321,988,400",16.084,13.055,0.939,3.644,5.818,,
04/30/2015,AAPL,"720,992,904,500","731,767,904,500",15.451,12.484,0.896,3.501,5.589,,
03/31/2015,AAPL,"717,000,251,540","720,940,251,540",16.724,13.021,0.965,3.746,5.814,,
02/28/2015,AAPL,"748,247,128,080","752,187,128,080",17.266,13.569,1.005,3.868,6.067,,
01/31/2015,AAPL,"682,427,475,680","686,367,475,680",15.747,12.61,0.92,3.527,5.533,,
12/31/2014,AAPL,"643,120,129,220","653,338,129,220",17.113,14.085,1.226,3.697,5.765,,
11/30/2014,AAPL,"697,505,421,200","707,723,421,200",18.439,15.221,1.325,3.984,6.253,,
10/31/2014,AAPL,"633,402,720,000","643,620,720,000",16.744,14.124,1.23,3.617,5.678,,
09/30/2014,AAPL,"591,015,720,750","584,250,720,750",16.201,13.793,1.391,3.518,4.887,,
08/31/2014,AAPL,"613,756,367,500","606,991,367,500",16.483,14.306,1.544,3.579,5.075,,
07/31/2014,AAPL,"572,440,085,200","565,675,085,200",15.373,13.477,1.456,3.338,4.733,,
06/30/2014,AAPL,"556,573,661,030","532,185,661,030",15.485,13.038,1.398,3.339,4.631,,
05/31/2014,AAPL,"545,254,172,999","520,866,172,999",15.068,12.755,1.488,3.249,4.537,,
04/30/2014,AAPL,"508,292,314,289","483,904,314,289",14.046,12.005,1.402,3.029,4.229,,
03/31/2014,AAPL,"462,533,011,299","438,783,011,299",13.273,10.977,1.355,2.839,3.567,,
02/28/2014,AAPL,"469,400,291,359","445,650,291,359",13.013,10.764,1.329,2.783,3.62,,
01/31/2014,AAPL,"446,529,693,399","422,779,693,399",12.379,10.071,1.251,2.648,3.443,,
12/31/2013,AAPL,"500,740,634,880","477,154,634,880",14.114,12.5,1.478,3.058,4.053,,
11/30/2013,AAPL,"500,317,318,657","476,731,318,657",13.989,12.469,1.475,3.031,4.05,,
10/31/2013,AAPL,"470,294,879,068","446,708,879,068",13.15,11.696,1.385,2.849,3.807,,
09/30/2013,AAPL,"428,699,797,749","403,051,797,749",11.886,10.811,1.174,2.649,3.475,,
08/31/2013,AAPL,"442,634,274,351","416,986,274,351",12.147,11.173,1.178,2.708,3.588,,
07/31/2013,AAPL,"411,122,147,409","385,474,147,409",11.282,10.406,1.097,2.515,3.333,,
06/30/2013,AAPL,"372,202,487,969","333,065,487,969",9.468,8.599,0.9,2.221,2.659,,
05/31/2013,AAPL,"422,143,298,628","383,006,298,628",10.739,9.588,0.841,2.519,3.116,,
04/30/2013,AAPL,"415,615,004,219","376,478,004,219",10.573,9.285,0.815,2.48,3.067,,
03/31/2013,AAPL,"415,683,414,279","375,863,414,279",10.04,8.496,0.903,2.545,3.268,,
02/28/2013,AAPL,"414,500,201,199","374,680,201,199",10.011,7.975,0.848,2.538,3.255,,
01/31/2013,AAPL,"427,731,528,420","387,911,528,420",10.331,8.006,0.466,2.619,3.359,,
12/31/2012,AAPL,"499,695,984,431","459,875,984,431",12.07,8.905,0.48,3.059,3.924,,
11/30/2012,AAPL,"550,568,213,759","521,439,213,759",13.257,9.47,0.51,3.535,4.658,,
10/31/2012,AAPL,"560,012,761,439","530,883,761,439",13.484,10.05,0.557,3.596,4.737,,
09/30/2012,AAPL,"625,348,229,629","597,694,229,629",15.686,13.004,0.72,4.228,5.607,,
08/31/2012,AAPL,"623,599,967,439","595,945,967,439",15.642,12.285,0.59,4.216,5.581,,
07/31/2012,AAPL,"572,530,088,559","544,876,088,559",14.361,11.274,0.606,3.871,5.123,,
06/30/2012,AAPL,"546,076,207,999","517,538,207,999",14.237,10.953,0.588,3.86,5.34,,
05/31/2012,AAPL,"540,213,369,259","511,675,369,259",14.084,10.776,0.53,3.819,5.27,,
04/30/2012,AAPL,"546,057,506,759","517,519,506,759",14.236,10.893,0.52,3.86,5.327,,
03/31/2012,AAPL,"559,002,433,500","528,846,433,500",17.071,11.186,0.55,4.403,6.225,,
02/29/2012,AAPL,"505,754,782,799","475,598,782,799",15.445,11.416,0.577,3.983,5.616,,
01/31/2012,AAPL,"425,608,257,599","395,452,257,599",12.998,9.634,0.503,3.352,4.726,,
12/31/2011,AAPL,"377,518,850,144","351,566,850,144",14.632,10.341,0.573,3.504,4.928,,
11/30/2011,AAPL,"355,220,119,800","329,268,119,800",13.808,9.794,0.517,3.307,4.636,,
10/31/2011,AAPL,"376,206,175,019","350,254,175,019",14.624,10.406,0.564,3.502,4.91,,
09/30/2011,AAPL,"354,351,905,639","328,399,905,639",13.776,11.574,0.628,3.299,4.625,,
08/31/2011,AAPL,"356,772,385,659","328,377,385,659",15.229,11.933,0.655,3.583,5.145,,
07/31/2011,AAPL,"362,010,449,165","333,615,449,165",15.452,12.225,0.671,3.635,5.221,,
06/30/2011,AAPL,"311,133,791,496","282,738,791,496",13.283,11.601,0.676,3.125,4.487,,
05/31/2011,AAPL,"321,657,378,952","292,423,378,952",16.579,12.151,0.708,3.704,5.232,,
04/30/2011,AAPL,"323,784,314,442","294,550,314,442",16.689,12.392,0.763,3.729,5.267,,
03/31/2011,AAPL,"322,255,851,587","293,021,851,587",16.611,13.089,0.809,3.711,5.242,,
02/28/2011,AAPL,"325,404,606,618","298,427,606,618",19.721,13.514,0.835,4.297,5.953,,
01/31/2011,AAPL,"312,608,055,031","285,631,055,031",18.946,13.245,0.811,4.128,5.719,,
12/31/2010,AAPL,"297,091,798,456","270,114,798,456",18.01,14.286,0.95,3.924,5.435,,
11/30/2010,AAPL,"285,420,103,853","259,800,103,853",20.538,14.006,0.937,4.411,5.972,,
10/31/2010,AAPL,"276,091,090,657","250,471,090,657",19.867,,,4.267,5.777,,
09/30/2010,AAPL,"259,906,501,687","234,286,501,687",18.729,,,4.023,5.438,,
08/31/2010,AAPL,"222,087,136,127","197,799,136,127",23.152,,,4.415,5.152,,
07/31/2010,AAPL,"235,014,050,880","210,726,050,880",24.5,,,4.672,5.451,,
06/30/2010,AAPL,"229,768,214,740","205,480,214,740",23.955,,,4.568,5.33,,
05/31/2010,AAPL,"233,744,971,825","210,589,971,825",28.542,,,5.261,5.94,,
04/30/2010,AAPL,"237,575,812,417","214,420,812,417",29.01,12.005,0.968,5.347,6.038,,
03/31/2010,AAPL,"213,764,415,584","190,609,415,584",26.111,,,4.813,5.433,,
02/28/2010,AAPL,"185,548,308,801","160,752,308,801",27.429,,,4.624,5.188,,
01/31/2010,AAPL,"174,161,689,147","149,365,689,147",25.746,,,4.34,4.869,,
12/31/2009,AAPL,"190,982,656,777","166,186,656,777",28.248,,,4.762,5.339,,
11/30/2009,AAPL,"180,054,633,537","156,590,633,537",31.782,,,4.963,6.469,,
10/31/2009,AAPL,"169,777,892,160","146,313,892,160",29.968,,,4.679,6.1,,
09/30/2009,AAPL,"166,778,949,424","143,314,949,424",29.467,,,4.601,5.992,,
08/31/2009,AAPL,"150,685,336,863","126,463,336,863",29.356,,,4.403,5.821,,
07/31/2009,AAPL,"146,367,500,089","122,145,500,089",28.515,,,4.277,5.654,,
06/30/2009,AAPL,"127,579,565,960","103,357,565,960",24.857,,,3.729,4.928,,
05/31/2009,AAPL,"121,157,436,555","96,144,436,555",24.47,,,3.642,4.984,,
04/30/2009,AAPL,"112,254,180,412","87,241,180,412",22.672,,,3.374,4.617,,
03/31/2009,AAPL,"93,615,007,992","68,602,007,992",18.941,,,2.819,3.851,,
02/28/2009,AAPL,"79,535,353,536","53,888,353,536",16.6,,,2.44,3.472,,
01/31/2009,AAPL,"80,265,607,594","54,618,607,594",16.753,,,2.462,3.504,,
12/31/2008,AAPL,"75,996,913,763","50,349,913,763",15.864,,,2.332,3.317,,
11/30/2008,AAPL,"82,377,617,848","57,887,617,848",17.289,33.113,3.015,2.574,3.917,,
10/31/2008,AAPL,"95,640,529,883","71,150,529,883",20.073,,,2.988,4.548,,
09/30/2008,AAPL,"100,688,632,743","76,198,632,743",21.205,,,3.157,4.788,,
08/31/2008,AAPL,"150,182,508,438","129,408,508,438",33.176,,,4.952,7.654,,
07/31/2008,AAPL,"140,809,943,468","120,035,943,468",31.106,,,4.643,7.176,,
06/30/2008,AAPL,"148,309,420,080","127,535,420,080",32.767,,,4.891,7.558,,
05/31/2008,AAPL,"166,406,289,343","146,958,289,343",38.918,,,5.888,9.218,,
04/30/2008,AAPL,"153,358,273,013","133,910,273,013",35.866,,,5.426,8.495,,
03/31/2008,AAPL,"126,485,348,930","107,037,348,930",29.588,,,4.476,7.006,,
02/29/2008,AAPL,"109,877,036,388","91,429,036,388",27.477,,,4.215,6.539,,
01/31/2008,AAPL,"118,964,610,826","100,516,610,826",29.749,,,4.564,7.08,,
12/31/2007,AAPL,"174,038,805,975","155,590,805,975",43.534,,,6.679,10.357,,
11/30/2007,AAPL,"159,540,948,728","144,154,948,728",46.366,,,6.75,10.979,,
10/31/2007,AAPL,"165,698,888,231","150,312,888,231",48.333,,,7.037,11.402,,
09/30/2007,AAPL,"133,876,327,332","120,109,327,332",43.353,,,6.004,9.988,,
08/31/2007,AAPL,"120,427,879,448","106,660,879,448",39.119,,,5.417,8.984,,
07/31/2007,AAPL,"114,583,892,230","100,816,892,230",37.22,,,5.154,8.548,,
06/30/2007,AAPL,"106,130,982,148","93,553,982,148",38.62,,,4.987,8.656,,
05/31/2007,AAPL,"104,823,915,855","92,246,915,855",38.352,,,4.952,8.549,,
04/30/2007,AAPL,"86,321,812,695","73,744,812,695",31.582,,,4.078,7.04,,
03/31/2007,AAPL,"80,362,320,816","68,493,320,816",33.663,,,3.953,7.157,,
02/28/2007,AAPL,"72,923,234,781","61,054,234,781",30.656,,,3.599,6.495,,
01/31/2007,AAPL,"73,888,534,662","62,019,534,662",31.062,,,3.647,6.581,,
12/31/2006,AAPL,"72,981,055,552","62,871,055,552",37.375,,,3.854,7.31,,
11/30/2006,AAPL,"78,393,366,982","68,283,366,982",40.379,,,4.164,7.852,,
10/31/2006,AAPL,"69,344,689,013","59,234,689,013",35.718,,,3.684,6.946,,
09/30/2006,AAPL,"65,838,112,484","56,662,112,484",35.669,,,3.708,7.057,,
08/31/2006,AAPL,"57,875,210,627","48,699,210,627",31.439,,,3.268,6.203,,
07/31/2006,AAPL,"57,969,039,266","48,793,039,266",31.49,,,3.274,6.213,,
06/30/2006,AAPL,"48,850,601,512","39,674,601,512",26.537,,,2.759,5.236,,
05/31/2006,AAPL,"50,834,871,766","42,608,871,766",30.215,,,3.006,5.855,,
04/30/2006,AAPL,"59,867,268,256","51,641,268,256",35.583,,,3.54,6.896,,
03/31/2006,AAPL,"53,261,081,207","45,035,081,207",31.706,,,3.154,6.135,,
02/28/2006,AAPL,"58,121,460,467","49,414,460,467",36.859,,,3.663,6.936,,
01/31/2006,AAPL,"64,078,719,228","55,371,719,228",40.637,,,4.038,7.647,,
12/31/2005,AAPL,"60,791,418,638","56,302,418,638",46.137,,,4.421,8.142,,
11/30/2005,AAPL,"57,156,522,233","52,667,522,233",43.525,,,4.171,7.656,,
10/31/2005,AAPL,"48,088,765,172","43,599,765,172",36.96,,,3.542,6.441,,
09/30/2005,AAPL,"44,765,388,104","40,276,388,104",34.406,,,3.297,5.996,,
08/31/2005,AAPL,"38,910,695,689","34,421,695,689",39.196,,,3.135,5.705,,
07/31/2005,AAPL,"35,392,219,474","30,903,219,474",35.652,,,2.851,5.189,,
06/30/2005,AAPL,"30,477,987,125","25,988,987,125",30.77,,,2.461,4.468,,
05/31/2005,AAPL,"32,758,788,566","28,269,788,566",44.359,,,2.951,5.13,,
04/30/2005,AAPL,"29,711,057,010","25,222,057,010",40.232,,,2.677,4.653,,
03/31/2005,AAPL,"34,300,108,289","29,811,108,289",46.491,,,3.093,5.371,,
02/28/2005,AAPL,"36,658,333,228","32,169,333,228",72.204,,,3.667,6.331,,
01/31/2005,AAPL,"31,420,261,092","26,931,261,092",61.887,,,3.143,5.427,,
12/31/2004,AAPL,"26,052,957,016","21,563,957,016",51.827,,,2.632,4.5,,
11/30/2004,AAPL,"26,957,979,244","22,468,979,244",94.092,,,3.137,5.311,,
10/31/2004,AAPL,"20,511,645,530","16,022,645,530",73.534,,,2.451,4.041,,
09/30/2004,AAPL,"15,168,440,158","10,679,440,158",54.378,,,1.813,2.988,,
08/31/2004,AAPL,"13,379,535,940","8,890,535,940",61.307,,,1.704,2.78,,
07/31/2004,AAPL,"12,545,497,022","8,056,497,022",57.486,,,1.598,2.607,,
06/30/2004,AAPL,"12,534,156,986","8,045,156,986",57.841,,,1.607,2.605,,
