,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
713,BRKB250815P00370000,2025-06-17 14:01:00,370,0.69,0.00,0.00,0.00,0.00%,3.0,0.0,0.125,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
714,BRKB250815P00380000,2025-06-17 09:30:00,380,0.80,0.00,0.00,0.00,0.00%,1.0,0.0,0.125,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
715,BRKB250815P00390000,2025-06-17 14:45:00,390,1.06,0.00,0.00,0.00,0.00%,2.0,0.0,0.125,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
716,BRKB250815P00400000,2025-06-17 14:04:00,400,1.32,0.00,0.00,0.00,0.00%,8.0,0.0,0.125,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
717,BRKB250815P00410000,2025-06-13 15:54:00,410,1.80,0.00,0.00,0.00,0.00%,11.0,0.0,0.0625,"Aug 15, 2025",2025-08-15,put,62,2025-06-13,long
718,BRKB250815P00420000,2025-06-17 14:16:00,420,2.05,0.00,0.00,0.00,0.00%,40.0,0.0,0.0625,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
719,BRKB250815P00430000,2025-06-17 15:43:00,430,2.70,0.00,0.00,0.00,0.00%,10.0,0.0,0.0625,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
720,BRKB250815P00440000,2025-06-17 14:59:00,440,3.50,0.00,0.00,0.00,0.00%,39.0,0.0,0.0625,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
721,BRKB250815P00450000,2025-06-17 15:41:00,450,4.80,0.00,0.00,0.00,0.00%,42.0,0.0,0.0313,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
722,BRKB250815P00460000,2025-06-17 15:58:00,460,6.45,0.00,0.00,0.00,0.00%,55.0,0.0,0.0313,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
723,BRKB250815P00470000,2025-06-17 15:46:00,470,8.95,0.00,0.00,0.00,0.00%,20.0,0.0,0.015600000000000001,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
724,BRKB250815P00480000,2025-06-17 15:56:00,480,12.20,0.00,0.00,0.00,0.00%,36.0,0.0,0.0039000000000000003,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
725,BRKB250815P00490000,2025-06-17 15:12:00,490,16.30,0.00,0.00,0.00,0.00%,23.0,0.0,0.0,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
726,BRKB250815P00500000,2025-06-17 15:22:00,500,21.95,0.00,0.00,0.00,0.00%,13.0,0.0,0.0,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
727,BRKB250815P00510000,2025-06-17 11:18:00,510,27.20,0.00,0.00,0.00,0.00%,4.0,0.0,0.0,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
728,BRKB250815P00520000,2025-06-17 10:48:00,520,34.40,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
729,BRKB250815P00530000,2025-06-17 10:48:00,530,43.35,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
730,BRKB250815P00540000,2025-06-17 09:47:00,540,52.00,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Aug 15, 2025",2025-08-15,put,58,2025-06-17,long
732,BRKB250815P00780000,2025-06-16 10:26:00,780,289.30,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Aug 15, 2025",2025-08-15,put,59,2025-06-16,long
733,BRKB250919C00250000,2025-06-06 12:55:00,250,246.05,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,104,2025-06-06,long
734,BRKB250919C00260000,2025-05-06 09:31:00,260,233.95,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,135,2025-05-06,long
736,BRKB250919C00280000,2025-05-06 09:31:00,280,214.30,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,135,2025-05-06,long
738,BRKB250919C00300000,2025-05-06 09:57:00,300,191.90,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,135,2025-05-06,long
740,BRKB250919C00320000,2025-05-06 09:31:00,320,175.15,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,135,2025-05-06,long
741,BRKB250919C00330000,2025-05-30 15:54:00,330,178.95,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,111,2025-05-30,long
742,BRKB250919C00340000,2025-05-20 14:53:00,340,174.88,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,121,2025-05-20,long
750,BRKB250919C00385000,2025-05-06 12:39:00,385,111.05,0.00,0.00,0.00,0.00%,3.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,135,2025-05-06,long
754,BRKB250919C00405000,2025-06-16 14:46:00,405,92.45,0.00,0.00,0.00,0.00%,8.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,94,2025-06-16,long
756,BRKB250919C00415000,2025-05-22 13:06:00,415,99.85,0.00,0.00,0.00,0.00%,40.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,119,2025-05-22,long
757,BRKB250919C00420000,2025-06-16 15:56:00,420,78.69,0.00,0.00,0.00,0.00%,1.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,94,2025-06-16,long
758,BRKB250919C00425000,2025-05-06 11:12:00,425,71.85,0.00,0.00,0.00,0.00%,513.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,135,2025-05-06,long
759,BRKB250919C00430000,2025-06-17 15:58:00,430,63.73,0.00,0.00,0.00,0.00%,9.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
761,BRKB250919C00440000,2025-06-17 09:30:00,440,59.35,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
763,BRKB250919C00450000,2025-06-17 13:17:00,450,47.44,0.00,0.00,0.00,0.00%,7.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
764,BRKB250919C00455000,2025-06-17 13:57:00,455,43.40,0.00,0.00,0.00,0.00%,2.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
765,BRKB250919C00460000,2025-06-17 11:39:00,460,40.22,0.00,0.00,0.00,0.00%,8.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
767,BRKB250919C00470000,2025-06-17 13:33:00,470,32.10,0.00,0.00,0.00,0.00%,11.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
768,BRKB250919C00475000,2025-06-16 14:38:00,475,32.00,0.00,0.00,0.00,0.00%,5.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,94,2025-06-16,long
769,BRKB250919C00480000,2025-06-17 15:55:00,480,25.00,0.00,0.00,0.00,0.00%,28.0,0.0,0.0,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
770,BRKB250919C00485000,2025-06-17 15:59:00,485,21.85,0.00,0.00,0.00,0.00%,77.0,0.0,0.002,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
771,BRKB250919C00490000,2025-06-17 15:56:00,490,19.45,0.00,0.00,0.00,0.00%,26.0,0.0,0.0078000000000000005,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
772,BRKB250919C00495000,2025-06-17 15:12:00,495,17.05,0.00,0.00,0.00,0.00%,36.0,0.0,0.0078000000000000005,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
773,BRKB250919C00500000,2025-06-17 15:22:00,500,14.60,0.00,0.00,0.00,0.00%,42.0,0.0,0.015600000000000001,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
774,BRKB250919C00505000,2025-06-17 15:15:00,505,12.50,0.00,0.00,0.00,0.00%,55.0,0.0,0.015600000000000001,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
775,BRKB250919C00510000,2025-06-17 15:23:00,510,10.60,0.00,0.00,0.00,0.00%,48.0,0.0,0.0313,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
776,BRKB250919C00515000,2025-06-17 15:21:00,515,8.80,0.00,0.00,0.00,0.00%,29.0,0.0,0.0313,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
777,BRKB250919C00520000,2025-06-17 15:46:00,520,7.35,0.00,0.00,0.00,0.00%,68.0,0.0,0.0313,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
778,BRKB250919C00525000,2025-06-17 14:55:00,525,6.10,0.00,0.00,0.00,0.00%,35.0,0.0,0.0313,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
779,BRKB250919C00530000,2025-06-17 14:57:00,530,5.10,0.00,0.00,0.00,0.00%,7.0,0.0,0.0313,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
780,BRKB250919C00535000,2025-06-17 14:25:00,535,4.05,0.00,0.00,0.00,0.00%,18.0,0.0,0.0313,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
781,BRKB250919C00540000,2025-06-17 15:54:00,540,3.40,0.00,0.00,0.00,0.00%,71.0,0.0,0.0313,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
782,BRKB250919C00545000,2025-06-17 15:39:00,545,2.93,0.00,0.00,0.00,0.00%,1.0,0.0,0.0625,"Sep 19, 2025",2025-09-19,call,93,2025-06-17,long
